O15116	Q9CQ74	P68255	Q2HJ64	J9P1X6
Q9BQQ3	Q9JJ28	G3V8Q1	F1N461	J9NSE8
P02652	Q8R239	A0A0G2JX33	A6H7C6	E2R536
P02768	A0A0R4J1Q7	A0A0G2JX25	F6RP42	F1PZL5
Q13769	Q9CQ06	Q5EB90	F1N5P5	E2R3B5
Q6I9Y2	Q8R0F9	D3ZAF7	G3N1S0	F1P686
P27986	Q9Z0M1	-	-	-
Q9P1A6	Q9D4E6	-	-	-
P78406	Q8CGF4	Q6P9Z8	Q28055	J9JHU5
Q12906	P63086	D4ACF4	F1MBP8	E2R6L1
P22694	Q8C147	D3ZVK3	Q2HJH0	E2RMG0
P29274	Q9Z1L8	P57113	F1MIW4	F1PNU0
Q04206	Q8BJ64	F1M0J7	F1N3Q7	E2R503
Q9Y6G5	Q91YT8	F1LRP3	Q17QL4	F1Q3Y4
Q29974	P83510	A0A0G2JZZ8	-	-
P41219	A3KGV1	F1M4I4	-	-
Q969H0	Q8K4Q0	B1WC31	A7MB66	E2R018
O75052	Q8C0D0	D3ZVD1	Q28115	E2RC59
P08758	Q9QZW0	G3V6K3	F1MNN2	F1PCL3
P54274	E0CYD2	-	-	-
P68400	A0A0R4J206	A0A0G2K000	F1MZM1	F1P979
Q14493	Q3UZ28	Q5BJR8	F1N3B2	E2QTC6
O95271	Q61845	Q6AY55	E1BHZ2	E2RLF6
Q9NUX5	Q14BA6	O35116	E1BLN6	J9NYB3
Q96A72	P13346	E9PT71	-	-
Q9UKT9	P40764	D3ZTT1	E1B8Z7	E2R4M2
Q01844	Q8VHB0	F7FMS0	F1N2X2	F6Y290
Q9NVX2	Q6NZH9	F1LN12	F1MPP7	J9PA84
P46531	Q9Z2Y8	G3V8C0	Q2KIM0	J9P3K9
Q9BZK7	Q3UFY7	B2RYU6	E1BCT9	E2RAC2
Q96SN8	Q3UM65	P97584	G3MWM5	E2QXM1
Q99598	Q9D735	P85972	F6S0Q2	J9NUF7
P09629	A0A0N4SV67	E9PTA2	A6H741	F1PMS7
Q9Y616	D3YYC3	-	-	-
O14829	Q3UYC0	D4AE64	E1BI83	F1Q489
O95831	P35639	Q62927	Q148H3	E2R9M1
Q13469	P97503	P35570	E1BCP2	-
Q13888	P25911	D3ZPJ1	F1MGE1	F1PJG3
Q16851	Q9WUP1	G3V6Z9	H9KUV0	E2RHI8
Q13137	Q6GQX2	D4A0V9	P04651	F1P7A9
Q9NVV4	Q0VG62	A0A0G2JSI1	F1MR37	F1PAG6
P62263	Q3UMW7	Q498R2	E1BDF4	F6Y2R3
P62266	Q99K95	G3V834	F1MGH5	E2R1B4
P40425	Q8CGA3	O35165	Q5E972	E2R930
Q7L5N1	Q61982	Q5XI32	F1MR89	F6Y4R5
Q13148	P97477	Q7TPJ3	Q8HZT6	E2R0Z2
Q9Y6M1	G3X8Q1	Q8VHV7	A4FUW9	F6PKZ1
P63279	Q8CHY6	F1M378	Q17QP5	F1PD72
Q9UHF7	A2AQ99	D3ZBX9	Q2KJB6	E2RSB2
P06493	P48036	Q5XIA8	F6QHJ6	F1PW07
Q99661	Q9DCP9	Q4KLM0	O18968	E2QYA8
O14976	Q99NH8	A0A096MJ60	F1N0Y8	E2QRT5
Q5T0W9	Q8VD62	Q3B7C7	E1BMX2	E2RSD9
Q16352	Q80VR2	D4AA91	G3N2B1	F1PUB4
Q9H2C0	Q9CY73	Q6MGD2	Q1JQC7	J9P1H2
P35813	Q8VIF2	D3ZGX1	E1BE96	F1PQA5
Q562F6	O35892	D3ZZI0	F1MPW9	F1Q1I1
P49257	Q80U40	D3Z8S9	Q2TBT5	J9PAK5
Q9P0N5	O88554	F7EWN2	F1MM23	E2RJ55
P13727	Q64277	A0A0G2K051	G3N0E7	F6Y4J5
Q12946	Q60718	Q68FX1	G3N0L2	E2RN63
P08684	B2RX88	Q03348	F6QYE2	J9NXD7
P17612	Q9D554	A0A0H2UHH0	F1N5I2	E2R5W8
O43395	Q61233	G3V8D6	Q17QB3	F1Q2R0
P62318	P29595	Q5FVM4	P55203	E2R4R8
Q07812	Q8C0Q4	B5DF69	E1B7B4	J9NZH7
Q9NS69	Q61271	E9PT54	E1BLS1	J9NRW6
P08887	E9QK82	-	-	-
Q96JP5	P29812	-	-	-
Q01201	Q925K9	Q91XL4	E1BKL6	F1PQX1
Q3ZCQ8	O35949	G3V790	G5E528	E2R052
O43149	O88854	A0A0G2JZF5	F1MHA1	E2R8S6
Q99501	O70624	G3V616	G3N373	E2RIB3
Q8WYQ5	A0A0R4J0L6	D4A3V5	F1N6B6	E2RNZ9
Q9BZE4	O88853	Q6MG81	Q08DP2	F1PYW2
O00459	Q6ZPR6	Q5BK54	A6H792	E2QSJ6
P00519	Q04683	F1M049	E1B8R5	E2RQ46
Q08379	Q99LB0	M0RDB0	F1N6C0	J9NVL0
Q9Y5B8	Q9D0D3	-	-	-
P67809	G3X9Z4	G3V879	A6QLQ0	E2R8N8
Q9NR30	Q80TH2	D4A7C5	E1BHH5	E2R0E7
P60410	Q9Z0F3	P08485	Q9NZ50	E2RQU4
Q969P0	Q8K021	D3ZDJ5	E1BM41	F6X6H3
Q8WUT4	Q6PFD9	M0R8N7	E1BLD0	E2QVW0
Q99750	P11276	Q5U2Q7	G3N1I7	E2RT79
P04792	Q8BYG3	-	-	-
P19320	Q8BX51	A0A0G2K7I9	A6H7J3	E2R2A0
P22626	Q9QZQ1	F1LML7	A6QLI0	E2RE66
Q9BVG8	Q99NB1	G3V6R0	G5E5H6	F1PLK7
Q9H4P4	Q4FE56	P80067	A7E2Z6	L7N0H2
O95405	Q99PG2	F1M9W9	F1MNC1	F1PW93
Q8NBJ7	P56671	F1M7Z1	F1N038	F1PXG4
P25398	Q60778	Q5BJV6	Q8HYB6	E2R8S4
P46778	Q8VCM4	-	-	-
O15533	Q9QZS8	D3ZHX6	-	-
P61769	Q8BRH4	A0A0G2K0S7	E1B885	G1K293
P12931	H3BJC9	Q5U2M8	G3X7A0	E2RI50
Q68CZ2	Q9CQW1	D4AA77	A5D7A4	J9NVI2
O75431	Q99J83	Q66H91	-	-
P55327	Q9JKF6	Q9JII3	E1B7N1	J9NX81
O60216	Q7M754	Q9JJ54	Q2KHY2	-
P62081	A0A1Y7VKG6	A0A0G2JWR1	F1MNG3	J9P780
O76024	Q8HWB0	Q09167	E1BLE4	F6UXG8
P56537	J3QMJ4	Q6AY19	Q0VC36	J9P0H6
Q13619	Q9CZ15	D3ZDM5	Q3ZBW5	E2R2G5
O75526	Q8BXB6	B1WBW2	Q3SZD5	F1PN64
Q9GZQ8	O08999	-	-	-
Q9NX70	Q6PFE7	P07824	A6QQE4	E2RHR7
Q9Y2X3	A0A0G2JEX0	Q5QJC9	Q3T147	F1PHQ0
P02545	Q8VCD7	A1KQY6	A6H793	F1Q435
P21333	Q5I1X5	D3ZH36	F1MLU7	E2RP71
P00441	Q8BSV3	-	-	-
Q9H0I9	P08030	A0A0H2UHW5	A2VE40	E2R273
P60409	Q8VC30	B0BNE1	Q07175	E2RGH5
Q7Z3I7	Q5HZG9	B5DEH7	A0A140T844	F1PNL1
Q04695	Q8CEC0	-	-	-
O00273	Q69Z38	Q9JLG9	F1MET4	E2RJF2
Q71U36	Q810U4	A0A0G2JVH4	A3KN51	J9P1B6
P04626	Q8CG72	Q5I0H4	Q3T0T8	E2RI77
Q9Y5J1	J3QNK5	A0A0G2JU29	Q3T0N9	F1PAK8
O75400	Q9DBU2	D4A9N5	F1MLZ2	F1PX98
P18583	Q8K0E8	Q6AYK9	P02548	E2R8M8
P48730	Q8BTV1	A0A0G2K1Z6	A5PJN1	E2QU43
P56645	V9GWT9	F1MA44	F1MS95	F1PAJ9
P46781	Q9JLV5	A0A0G2JUG4	E1BCK7	J9NYF2
P60866	Q9JHJ7	B1WBU4	-	-
O95166	Q8CFA2	Q5FWU5	A7MBC1	E2RBH1
P19474	Q8BSA9	A0A0G2K994	Q2KHU8	F6XY50
Q9BVL2	Q6PCP3	D4AAB5	F1N4M5	F1P783
Q9H1M0	Q8C7Q4	G3V6R4	F1MF21	J9P765
Q08117	Q8BH24	-	-	-
Q8TBE0	Q8R3Z5	D4AED1	Q2KJ57	F1P8R6
P56749	A0A5E3	D3ZUP4	P61602	E2RCJ1
O95990	Q5SX19	B5DFE3	F1MG15	E2R3V4
Q8N635	Q9Z247	P62243	F1N5R0	P79143
O15084	P97287	-	-	-
Q14315	Q9D548	B5DEN5	F1MFB5	E2RQK2
O43324	M0QW46	D3ZRM5	A6QM01	E2QX80
Q96JM3	B1AQ77	D3ZY52	Q0P5E7	F1PKT4
O75251	G1K381	P09139	E1B9Y2	E2R0Z6
Q9UI09	Q99MX1	F1LQE6	F1MM13	F1PXZ0
O43143	Q61464	Q5BK43	F1MXB2	E2R1C2
P06702	Q9JJG0	G3V9T7	F1MD78	J9P4B2
P05067	E9PWI3	P23640	Q4ZJ65	J9JHH5
Q6E0U4	Q924D0	Q6IN33	G5E585	-
O95997	Q31135	D4A4E5	F1MZ10	F6V9R9
P52948	Q80YV3	Q99P75	G5E5K9	J9P8D7
P62068	O35242	-	-	-
P62987	Q9QZ85	-	-	-
P27635	Q6PEM8	-	-	-
P46087	Q99LH9	Q6AY80	F1MJ20	E2QUU1
P28799	Q8BVK3	Q64232	E1BIH4	E2QVU9
Q9H4B6	Q6S5J6	F1M987	F1MDF2	E2QX06
P63000	O88174	B5DF97	E1BEQ6	E2R4D0
Q9Y566	P42225	D3ZWW5	F1N6E1	F1PYR0
Q68D86	Q91WV7	D3ZNQ7	F1MUZ2	E2RC93
Q9Y3I1	Q6KAP1	G3V8F5	A5D799	E2R3P0
O43390	Q80VQ1	D3ZL85	A6QLF9	E2RA51
P43243	Q8C196	D4ACC1	F1MY45	F1PEU2
O43889	Q80WT0	D3ZGQ0	F1MM54	F1PYX9
P50402	Q99J09	A0A096MIS5	F1MJJ2	E2R416
P86479	P26149	A0A0G2JUR5	A0A140T872	F1PS31
Q8IUQ4	Q9DD20	A0A0G2JU33	A7Z064	E2REF2
P10809	Q9DB40	A0A096MJR6	E1B7S1	F1P9X0
P78371	Q9JIP6	Q5XI39	F1MKV7	J9P153
P38606	P97499	F1M0C4	F1MDG4	F6XCU1
Q99437	Q6R2P8	P10888	E1BJW7	F1PYC0
Q00537	G5E8Q8	F1LR87	F1MY58	E2R0T6
Q9UHV9	Q9DAK3	Q63430	Q29S07	E2R7J6
O14641	Q61823	Q9WUJ3	F1N0L0	F1PH81
Q66PJ3	Q3UI66	-	-	-
P05388	Q9Z0X0	Q8R525	A6QNT7	F1PA86
P24534	Q9WU42	B2GV73	F2Z4G1	E2RT02
P09914	Q8R3Q2	A0A0G2JZE7	F1MWN4	F6Y402
P60228	Q9Z1B8	Q9WUC8	F1MZY2	E2RHE8
O75570	Q61016	A0A096MJU6	F1MIH4	F1Q149
Q9HCE1	Q9WU28	D3ZWE7	E1BD64	O02812
Q9NPA3	Q9Z0S1	A0A0G2JSR8	E1BHE1	F1PG67
Q9UMX9	Q9QUK4	A0A0G2K6N8	F1MKK7	J9PB19
O00560	P35980	Q6Q7Y5	Q5GLH2	F1PWE6
Q8TC92	B2RRD7	D3ZN46	F1MQV8	J9NWX9
P17931	A0A1D5RME2	A0A0H2UHK3	A7MBE2	J9NXK2
Q9Y2T6	Q8R2Y3	D3ZQ32	P62865	F1P651
Q07001	Q99KH9	Q5FVI3	Q3SZY8	F1PT20
Q6T4P5	O70469	-	-	-
Q15427	P57776	D4A746	F1N1T6	E2R6Z0
Q9Y4P3	Q9JHW9	Q91Z80	F1MR92	-
O00744	Q9ESW8	A0A0G2K263	E1B8Q3	E2RAE7
O75170	Q69ZN7	D3ZS84	F1MVT6	Q28309
Q96FV9	Q8BUZ9	Q5XIA1	Q0V8F0	F1Q1C6
Q96QD9	Q60994	D3ZWI4	P38408	E2QZC9
Q3LI72	Q91V14	Q66HB8	E1BGP1	F1P9Q0
Q93062	P0C6F1	P01143	E1BCC2	Q8MJW8
P61313	Q8CDG8	F1LNL9	F1MCQ4	F1PFG6
P63173	F6R5P4	Q6U7S0	G3X872	F1PBY2
Q9NP64	A2A8L1	F1LMA4	-	-
Q9UQ35	Q9D9S2	-	-	-
P35908	Q8BZZ3	O54715	E1BFD3	E2RLD5
Q13618	Q6P1H6	F1LNW8	F1MNM7	J9P2P1
Q15717	D3YYU8	Q63327	G3X7E1	F1PT92
Q96A54	Q60943	F1M038	F1N169	E2RTE2
P40259	Q9D009	A0A140TAJ2	A0A140T874	F1PWN3
Q92783	Q9D2G2	Q5U328	A5D984	F1PVV5
P62140	Q62165	P63312	P35466	E2RLS3
Q14160	O78207	P61354	E1BCF0	J9P4U1
P0CG47	Q9CQV1	A0A1W2Q656	F1MCU6	F1PLA4
Q7L4E1	Q6NS69	P22199	K7DXW3	E2QSR2
Q15398	Q91X44	P60713	A5D7N9	E2R970
P05362	P36552	D4A9P2	F1MPL2	F1PDY0
P16989	Q99LQ4	G3V912	-	-
Q15020	D3YZR2	D3ZFM2	A5PKK9	J9P4V2
Q9Y333	Q99PP7	Q561R7	F1MJI9	J9JHN1
Q6P4R8	P97813	A0A0G2K9E0	F1MB39	J9P7F9
Q6PI98	Q8VCI5	P52873	Q3ZBW6	J9P2Z4
P52757	Q9DCI2	Q9ESQ4	Q3SYT0	J9P2V0
P19174	P49117	G3V765	F1MUI0	F1PU57
P23458	Q5JCS9	Q64230	Q3MHJ0	J9NV11
Q9UNL2	Q07456	P20267	F1MWX0	F1PDX3
A1L188	Q80W71	Q32Q06	Q3T124	E2R1Q1
O75439	Q8C7W8	Q9QYW4	F1MQC7	F1PMH4
Q5RL73	Q9Z0X1	P20786	F1N727	E2QWH2
Q99963	Q80ZD9	P09117	F1MU62	E2RDA0
P52815	Q9DBR2	Q68FT4	P81127	J9NXU8
Q8N3Z3	Q3URV1	D3ZLX0	G3N014	E2RDZ3
P38919	O08849	F1M293	F1MJ58	F1P698
Q9UKV8	Q99N18	Q3T1K1	F1MLG0	E2RE83
O75792	Q8R0A2	M0R652	Q3SZZ9	E2RAZ7
P62807	P01590	A0A0G2JWW0	E1BA23	F1PZK4
P62273	Q4V9W2	D3ZID7	F1MM10	E2REX1
Q9NY93	Q9DCJ7	Q569A2	F1N7D7	E2RQW9
P53350	Q9JKZ2	Q01728	E1BMG4	E2RCC9
Q12834	Q64213	G3V8C3	F6QFC2	F1PLK9
P21281	P56716	D3ZQD3	F1N726	E2RBC1
P41252	Q8BJS4	Q4V8C2	E1BEM2	E2RL25
P28066	B1ATD5	P56571	Q1RMI9	F1P7G0
P61289	Q9JKX4	Q6MG72	Q3T051	E2RSL6
Q7KZN9	Q9CTN4	M0RCW2	A7YWH2	F1P7Y6
Q14152	E9PUZ5	D4A6K4	Q2NL34	F1PSC4
Q09472	Q8BNI4	D3Z8N2	F1N4A0	E2RC17
Q9Y4C1	P70318	G3V6R7	Q148L9	F1PBM0
Q9H9L4	Q9DBF7	-	-	-
Q9Y6K9	P32507	Q5M9H2	F1N7I8	F1PC04
O95573	Q62092	F1M3S0	E1BNM9	Q32KI1
Q96RY7	P27792	Q7TSU1	G1K1R6	J9P056
Q8WVE0	Q5ND29	D3ZWB5	Q3SYT6	F1PYP4
Q99608	Q07475	D3ZWN1	F1MYZ4	E2QRT0
O43463	G5E8H1	D3ZWQ5	Q148K4	J9NTS3
Q13547	P59113	Q4V8F3	F1MPH9	E2QSZ2
Q86SQ7	Q9JHI9	Q8K3W5	E1BDQ2	F1PPW9
Q9Y4K3	O35084	D4A7D3	F6R1G6	E2R185
O15372	Q9R0G7	D3ZF86	P68401	E2RQT2
Q13283	B1AVK0	D3ZEI6	E1BLS3	F1Q0J4
P46934	Q9ERK4	-	-	-
Q9P1Z2	Q80W99	A0A140TAA0	G3X6E8	E2RDC9
Q16666	A0A0R4J293	D2KX21	F1MWE6	E2RI99
Q8N7H5	A0A087WRR7	P50430	Q08E16	E2R736
P14868	P27046	-	-	-
O75147	P09793	Q5XI50	-	-
P13647	Q6IMB1	D4AEE9	Q1RMU4	F1PWJ9
Q9BTF0	Q8C804	P33124	F6RDE3	E2RD67
Q9Y5X2	Q91YX0	A0A0G2JXG0	-	-
P22607	P01820	B4F779	F1MY49	F1PD56
Q14289	P42125	D4A0J4	F1MBN2	F1P9C4
Q8NEM2	P28334	Q27W02	Q3ZBR5	E2RPF2
Q9NQX6	Q6EBV9	A0A0G2K030	E1BBJ6	G9C8M9
P35226	P61092	D3ZTA2	A0A140T848	E2QSX9
Q12986	Q5SXY1	D3ZVN8	E1BMT1	E2R4N6
P27448	P62849	F1M7M9	A5PJS3	J9NZD8
Q86V81	Q8R0J2	B2RYE0	Q32KM7	E2R552
O43157	Q9Z218	M0R729	F1MLS3	F1PYZ5
Q9UHP9	Q921L7	-	-	-
O43663	B9EKS2	Q76MX4	E1BB15	E2RRY1
P35900	Q61626	A0A0G2K509	-	-
P43026	E9Q284	Q9WV63	F1N626	J9P872
Q13705	O54775	O54874	-	-
O60779	Q3UHC0	A0A0G2KA11	E1BNA4	F1PQ05
Q8IZF4	Q9QXE2	A0A0G2K0U5	Q3T0V7	E2R5X7
Q96KP1	Q9JHP7	G3V9E0	A7MB14	F1PGQ9
Q9UBU9	Q8CJ40	A0A0G2JXK1	Q5E9S9	F1PCU1
O15525	Q9CYV5	D4A9Y0	E1BAQ2	E2REQ8
Q9HB75	P42703	G3V8B2	E1BPI7	E2QUS3
P50552	Q80WM7	A0A096MJP9	F1MEV4	Q5TJE6
Q13620	Q3TCH7	Q9QY78	Q5EAE2	E2RQG7
Q14978	Q9Z148	Q63429	P63048	E2RFI5
Q9UQ88	Q6PEB6	A0A0H2UHA7	E1BBN3	F1P6U8
P01889	Q61885	Q63362	Q32KZ1	E2QXV2
P68366	Q9D6S9	D4A6P3	Q2LGB7	F1PC86
P0CG48	P21440	M0R7E6	A5PKC2	F1PQ79
Q9H0M0	Q99NF3	D4ABJ2	E1BGT1	E2RAY1
P06241	A2A6M5	-	-	-
Q13111	Q8CEE5	A0A0H2UHX0	Q05B89	Q9XSV3
O60674	Q8BHL4	B2RZ28	Q6UC88	E2RNQ5
Q969Q4	Q31216	Q4V7E5	F6Q3F4	J9P233
P30480	Q99JP6	F1LM93	F1MUX7	A0A0A0MPD3
Q99873	Q91V24	F1MAP4	G3MZU0	F1Q102
Q9UFF9	Q9D051	B2GV17	F1N3T0	E2RDY8
P51151	Q9WUD1	D3ZS92	F1MGZ7	J9P7R8
Q9H6L2	F6TNE3	D4ABV1	F1MSV5	F1P815
Q16795	P01101	P11962	G5E5F9	E2RQY5
Q9Y4W6	Q3UGP9	Q925B5	F1N130	E2R075
P39023	A6H619	D4AAI7	E1BEI6	F1PVQ1
P62750	O54910	Q920D5	A6H7J6	E2RS45
O43193	A2AEE7	D3ZJ93	H9GW41	F1Q1F8
P12872	Q6ZPL9	M0R830	E1BKI6	F1PBL4
Q16643	O35988	D3ZQN3	F1MAW5	E2RGW9
Q9ULV0	Q9WTS5	D3ZIA5	A6H7C1	F1Q237
O43815	B2RW88	A0A140TAG2	B1H0W3	E2QUZ6
Q13133	P0DM65	O70489	A6QLF4	E2QY36
Q8NDD1	Q8VE80	-	-	-
P42345	Q91XL9	-	-	-
Q6IAA8	Q80TE0	-	-	-
Q14669	P62080	D3ZJ07	Q5E9Y9	F1PNW3
Q15562	Q8BYI8	D4AC45	F1MK90	F1PWU0
O60260	Q8BVQ5	A0A0G2K174	Q08E25	E2R988
P68104	Q9D6Z1	F1LV17	Q1RMT9	E2R687
Q9NV56	Q920A1	Q4V887	F1N048	E2R1H3
Q9ULK4	S4R2P9	Q9EQT1	E1B8E3	F1P973
Q5S007	Q3TBT3	R9PXU4	E1BMR2	F1P9Z8
Q9P209	P97785	Q5FVL2	E1BHZ3	E2QUQ5
P53621	Q6PB82	D3ZXP8	E1BFQ7	J9NV86
Q02978	P61922	M0R7V1	F1MCR5	E2RMG9
P67870	Q5SV66	D3ZMD3	F1N099	J9P178
P62241	Q99M96	D3ZZ10	-	-
Q92665	Q0VF58	F1LS89	E1BBZ1	E2RP46
A0A087WY75	Q6PGN3	Q4V8G5	F1MFY0	E2RFM6
Q504Q3	Q9QWZ1	-	-	-
Q16539	P19785	D4AE21	E1BGZ1	E2RGG6
Q99956	Q9QY83	D3ZCM4	F1MCX8	E2RDS4
Q15042	O70324	Q64666	E1BMC5	E2RQD7
Q9BSV6	Q61703	P80203	A7MB54	F1PFR1
Q5BVD1	Q32P08	O54852	E1BAH1	E2QUU0
O96017	A2AM57	F1M9D0	F1MV02	F6V7F8
Q92985	Q3TAE8	D4A719	-	-
Q13523	Q8BG34	G3V7R8	A6QLS6	F1P6Z2
Q9UJV9	Q9R0M7	P15129	F1MSX4	F1PMU3
Q08170	Q8BLG0	D3ZZ25	Q148M2	F1PBV9
Q9H307	Q80X90	A0A0G2K4P5	Q3MI00	E2RGL8
Q9UJM3	P70218	B5DEL1	-	-
Q15022	O70507	B0BNA4	F1N4C0	J9NRJ9
Q92597	Q80UF7	F1LTS3	-	-
Q8WYC7	Q9CWR8	-	-	-
Q8WYE2	D3YZG8	D3ZSC1	F1MC10	E2R1V0
P09622	Q9JMF7	Q6AXS4	G3N1R3	J9NT73
Q14974	P42227	D3ZHH8	G8JKY0	E2QXC1
Q92832	Q61191	P53812	Q58CU3	F6V5L4
Q9C0F1	Q9ESB3	Q63624	F1MSV4	J9JHR0
Q8IYB0	Q920Q8	G3V9X9	E1BD42	J9P4B0
O43633	Q3UMT1	O35346	P86437	E2R5V3
P51148	Q5SYD0	A0A0G2K318	A5PJQ2	F1PTX5
Q9UKV3	E9PX92	G3V6V6	Q3SYW7	E2R1X3
Q9Y383	Q64442	-	-	-
Q10570	D6RCK0	A0A0G2JXE0	E1BM47	F1PXW9
Q16514	Q9D7H3	A0A1W2Q678	F1MIZ5	E2RPW3
P09651	G3X8R7	M0RDR7	F1N2X8	E2R8R8
P49406	Q80W68	P61227	F1MYW8	F1PV85
P17181	Q8BNU0	Q641W5	E1BEP9	J9P448
P38484	Q9D1R9	D4ADL7	E1BNY6	-
Q00535	Q8BVV7	D3ZND9	G3N1V4	E2RKV7
O94915	Q6RHW0	P55006	E1BBU6	J9P3T7
P62136	B1AXP6	D4A0E6	E1B6X9	E2RN76
O60341	Q8R379	-	-	-
P80217	Q8BRK9	B1WC37	E1B8N4	F1PID7
P82912	Q8C3X2	D3ZTN2	Q2KJ94	E2R3C8
Q92905	Q61818	P37230	Q08E34	E2R261
P07711	Q9D5K4	D4A8H8	-	-
P15692	Q8K349	A0A0G2K7B7	A6QLS4	F1PMK5
Q13153	Q99L45	Q5M7U6	Q08DH1	E2RD70
P48039	Q8VE62	F1LQ00	G3N1D8	F1PRX3
Q96M02	Q80VJ2	D3ZNI3	A0A140T866	E2R0L6
O00238	Q8R4H9	D4A006	Q0VC92	J9PBM4
Q9H4E5	Q148W0	A0A140TAA2	Q0VC12	F1PR86
Q5VZM2	P33534	D3ZSY9	F1MCN4	F1PHX4
Q9NQL2	A0A0R4J084	A0JPQ4	F1N342	F1P974
Q15027	P08032	Q5U206	P79114	A0A0A0MPB6
Q9Y239	Q00898	Q9JLH6	F1MJQ1	E2RIS8
O14981	Q3UQJ7	Q5FWT9	A6QPY8	J9P337
P53602	Q8VD72	Q32Q05	F1N720	F1PF84
O75694	Q6A085	G3V890	A5PK24	E2RQ17
P23508	B2RXB0	P41562	-	-
A5PL33	Q8VIB5	D3ZI16	F1MXD8	Q4PLA8
O96008	Q9CQ45	D3ZF58	-	-
P20933	P05125	P00758	Q32L54	F1PF07
Q9Y3A3	Q8BW86	P51433	F1MPQ7	J9PAQ5
Q9BTL3	Q9R1W5	G3V9Q6	P79119	E2QUD2
P17252	Q9QYB2	Q62764	F1N0L2	F1PSQ3
P04150	P50544	Q3HSE5	A4IF67	J9NW84
P49427	Q06318	-	-	-
P08047	Q5S248	D4A4I3	E1BNU2	E2QSQ5
P14635	A6ZI46	A0A0G2JSL7	F1MHG5	F1PXZ9
Q9BR76	Q8BX80	F1LPR0	F1N3X6	F1Q3Q6
Q86YZ3	P52801	-	-	-
Q8TAP6	Q8VHP7	A0A0G2JYY3	Q0VCQ3	E2RJK2
Q14137	P48771	G3V926	F1MKG2	J9JHB0
Q14258	Q8C0C0	D3ZWJ0	E1BJB5	E2R145
Q9Y3C7	Q9D3W1	A0A0G2K970	A6H797	E2RSP9
Q9Y6I3	Q8K2Q0	Q924T4	-	-
O75324	Q791N7	P58405	F1MTL4	E2RKI5
Q86UE4	A2AFR3	-	-	-
Q15582	Q5SRY7	Q4QQU5	F1MD99	J9P4U5
Q8IZU0	F8VQB6	D3ZDS9	P17322	E2RK17
P35658	Q9DBS5	A0JPP7	G3MXD8	E2RRA0
P62826	Q9Z2L7	-	-	-
Q12948	Q8JZY2	Q03351	A6QPI6	F1PMN5
Q86U70	Q9QZ06	A0A0G2K9U9	E1BFI2	F1PH10
Q12905	P14873	-	-	-
Q9NZJ5	Q69Z99	D3ZDW5	Q3ZCI1	E2R7A4
Q8TAF3	Q6A025	F1LYH3	F1MM79	A0A0A0MPB4
Q9Y6N9	Q9R112	A0A0G2JZU7	F1MRZ4	J9PAZ6
O60939	Q99LE1	B2RZ37	E1BFV6	E2RH05
Q12769	F6U2C2	G3V8M8	G5E5Y7	E2QUS6
P05412	Q9JKY5	A0A0G2KA76	G3X6J7	F1PBV3
Q9NV79	Q8C2E1	Q0ZCA7	E1BNW1	-
P63244	Q9DBE9	D4ACD3	G3X7I1	F1PMW4
Q8WUM0	P63017	A4V8B4	F1ML03	E2QTH4
P08588	A0A1W2P866	P59895	Q95136	-
Q86UL8	Q9WVS0	F1M801	F1N0X0	E2RLA8
Q13084	P01789	P04764	E1BFS3	J9JHF0
