O15116	Q99J45	F1LTB8	A4FUE0	J9P8M7
P53350	P63085	Q9Z270	E1BML0	D0VYJ3
Q12834	Q05186	A0A0G2JUA5	F1N0V7	E2RBM6
P21281	Q8CIH5	D3ZAQ9	F1MUY3	F1PCH2
P41252	Q5RIM6	D4AE96	P61257	F1PGL4
P28066	Q8BH95	-	-	-
P61289	P62307	A0A0G2JSZ5	G3XCF6	J9P6W8
Q14152	P63163	Q6MGC3	Q3T0N9	F6X6E5
Q09472	A0A0R4IZW5	D3ZHL1	F1MYE6	J9NWL1
Q9Y4C1	B8JJ61	P47987	F1MDX6	E2R5F6
Q9H9L4	Q60674	D4A3S6	Q3SZP4	E2RSG1
Q9Y6K9	O89090	P62250	Q3SZ11	E2R0G3
O95573	Q9WUM4	G3V8V3	E1BMX0	E2R2H9
Q96RY7	Q8VDB8	D4A434	E1BE20	E2RAR4
Q8WVE0	Q9CRY7	F1LNP4	F1ML45	F1PZP3
Q99608	Q91X76	D3ZHY9	Q5E9X2	F1PW09
Q13547	P05480	F1M9G7	P00829	E2R9E3
Q86SQ7	Q7M6Y5	F1M2M6	P82924	E2R3L5
Q9Y4K3	O08586	P54645	E1B8P9	E2R4L7
O15372	Q9D0F3	F1LSL2	Q3ZBU5	F1PA65
Q13283	Q9CQV8	B2RZ55	F1N619	F1Q2H9
P46934	Q9CZU3	B5DFI5	F1MIU2	E2RHV6
Q9P1Z2	Q8BVY4	A0A0G2K2W0	F6RQU6	J9NUW1
Q8N7H5	P25446	Q66HH8	F1MR62	F1PUT4
P14868	P18653	B5DEL2	A5D7R8	E2QWC6
O75147	P63017	G3V8D5	A0A140T894	F1PAI7
P13647	Q9CR52	F1M7J7	Q2KJ42	J9P7Y9
Q9BTF0	E9QMY5	D3ZYR5	F1MCR2	E2R824
Q9Y5X2	Q99KG5	F1LVW5	F1MXU4	F6UPE2
P22607	E9QKE4	Q6MG18	A6QPZ6	F1PS57
Q14289	Q3UZG4	F1M3K6	F1N4T1	F6V1H7
Q8NEM2	P10078	D4ACH7	F1N6U5	E2RN65
Q9NQX6	E9QPD7	-	-	-
P35226	P11440	A0A0G2JVC1	Q3SX24	F1Q0B0
Q12986	P62830	Q4PJT6	E1BKM5	F1PVQ2
P27448	Q7TQK5	B2DD29	E1BII2	F1PPN3
Q86V81	P17751	P43138	Q2TBI4	F1PM37
O43157	O70237	-	-	-
Q9UHP9	A8Y5H7	D4AB29	A6QLP3	F1Q048
O43663	Q9QYY0	A0A0G2JXJ7	Q58DD4	F1PL31
P35900	P58022	B2RYV8	P02666	E2RS46
P43026	Q8C0Y1	-	-	-
Q13705	O35425	F1LZE2	E1BGP0	E2QV84
O60779	Q8R4T1	-	-	-
Q96KP1	Q8BUN3	D4A3I0	Q5E9K3	J9NZY3
Q9UBU9	Q921E6	-	-	-
O15525	E9Q284	D3ZWG2	Q58D20	E2RHX6
Q9HB75	A0A0R4J108	Q8K422	E1BCM7	F1P729
P50552	P62715	G3V7G9	F1N049	F1Q3I5
Q13620	Q9D8E6	Q6IMY8	A0JNB0	F1PIA2
Q14978	P48025	F1LMV8	Q5E956	E2RFV4
Q9UQ88	A0A1W2P7D5	D3ZNH2	F1MVN9	E2RLB3
P01889	Q9D700	-	-	-
P68366	Q03265	Q4QRB4	F1MX61	E2RF73
P0CG48	P70372	A0A0G2JSP3	Q1RMS5	J9P383
Q9H0M0	Q9D187	A0A0G2K9T8	F1MXE5	F1P8T0
P06241	Q9JLV1	Q5U2U8	F1N614	F1PQ09
Q13111	E9PW37	D4A3X0	F1MNR0	E2REQ5
Q969Q4	F8WIG2	O08839	F1N058	F1PD85
P30480	Q07139	Q9JIX5	E1BMZ8	F1PEK5
Q99873	E9PVY8	Q66HL7	F1MXB2	E2R289
Q9UFF9	Q76LL6	P31596	E1BKJ4	F6XG65
P51151	Q8CAV0	Q5M843	F1MN41	E2R6R2
Q9H6L2	Q8C6Z1	G3V793	Q3MHL8	F1PZS5
Q16795	Q8C804	P23385	E1B8X8	E2RSI0
Q9Y4W6	Q9CZT4	-	-	-
P39023	P62751	M0R9Q1	F1MI27	E2QU53
P62750	P61358	D3ZK73	E1BPU0	F1PHS5
O43193	Q8BIV7	Q4KM93	F1MBE5	E2RRW7
P12872	Q99N91	Q68FV1	-	-
Q16643	G5E884	A0A0G2K8V2	Q5E966	E2QX24
Q9ULV0	Q9D1P4	F1LPG3	F1MZA8	F1PKC4
O43815	Q5SSW2	P22829	F1MCI5	E2RAT0
Q13133	Q9QXD8	Q6IE24	-	-
P30153	Q9CQR6	G3V681	G3X811	F1P666
Q8NDD1	Q9ERD6	P15684	E1BHP2	F6UMC3
P42345	Q91YK2	D4A3X3	A4FUX6	E2RS43
Q6IAA8	Q8CH77	F1M823	Q3MHI9	F1PZL2
Q14669	A2AQJ7	D3ZGL3	F1MUR5	F6PLB9
Q15562	Q6P2B1	P10888	Q2KII4	F1PNA9
O60260	Q99JX7	G3V6K6	Q32PJ8	F1PP86
P68104	P29595	Q71UE8	P67774	E2RH47
Q9NV56	Q04887	A0A0G2K4X2	Q3SX32	F1PSM5
Q5S007	F6UL52	Q4KLY4	F1MSD2	F6V0I8
Q9P209	Q6P1E1	B5DFC8	F1MED7	-
P53621	Q9Z0H1	G3V836	F1MYN8	E2R7R9
Q02978	Q99MR0	Q9Z0L5	F1MSU1	F1PMJ2
P67870	E9Q5C9	Q5U2S7	G3X6V0	F1PGU6
P62241	Q8VEE4	P97536	E1BDM8	E2R000
Q92665	Q8BMB0	-	-	-
A0A087WY75	Q61606	D4A545	F6R1G6	E2RCP0
Q504Q3	Q61081	P29066	F1MM66	F1P8U8
Q15042	Q9D0Z3	D3ZQG5	F1N545	F1PXU3
Q9BSV6	P01801	D3ZHX4	F1MCM2	J9P1I8
Q5BVD1	O08696	A0A0G2KAX2	A5PJT7	J9NVC6
Q92985	Q9ERA0	P18265	Q1JQD3	J9P5T3
Q13523	Q8BGS1	P58405	Q3MHH2	G1K265
Q9UJV9	Q8BL97	Q07936	E1BH78	E2RB90
Q08170	Q9CT10	F1LN59	Q0IIG6	E2R0U1
Q9H307	Q62077	Q9JM53	E1BJI1	-
Q9UJM3	E9QLK7	Q66HB8	E1BJ15	F1PWZ9
Q15022	Q5SRY7	D3Z8G3	E1BDS6	Q5U820
Q92597	Q9Z1M4	D3ZXN9	G3MZC7	F1PFX9
Q8WYC7	A0A0R4J0A4	B5DFM9	F1N415	E2RAK7
Q8WYE2	P24529	Q3B8N9	A6QLC1	E2RJK6
P09622	P20263	Q59IV8	Q3SZI4	F6XKL7
Q14974	P68510	G3V8T5	G5E5N3	E2QSF4
Q92832	Q9R1A8	Q63483	F1MHR5	F1PBS6
Q8IYB0	P30275	Q642A9	-	-
O43633	Q8BHI9	P22199	E1BKA0	F6XB81
Q9UKV3	P58854	Q32Q86	Q2KJH6	E2R7S5
Q9Y383	P97452	A0A0G2K490	F1ME65	F1P818
Q10570	Q9DCP9	P0C0A1	G3X6K5	E2R797
Q16514	Q91WE6	Q76JQ4	E1BFE2	F6XYL8
P09651	P20029	-	-	-
P49406	P28028	P70500	F1MPF0	E2R8R2
P17181	Q5SWD9	Q6AXW2	F1MMS4	E2R9U7
P38484	Q6PGA6	Q561R1	Q2KJ73	J9P6D6
Q00535	Q99MD9	D3ZK96	Q148J6	E2R5I1
O94915	Q9CYF5	Q3KRD6	E1B7G4	E2R1A7
P62136	O09106	P84025	G3MX90	J9NUI0
O60341	P52927	Q7TQN4	A5D7I1	F1PKF6
P80217	F8VQK4	P60892	F1N110	E2R5P6
P82912	P08046	E9PSK5	F1MZL6	E2RGH9
Q92905	A0A0R4J0T0	P62138	Q0VCV0	E2RLQ9
P07711	O88609	D3ZFU9	F6QF86	E2RP77
P15692	Q9QZS0	Q6TUD5	F1N6Q4	E2R0R3
Q13153	O70551	A0A0G2K099	P79103	F1PSQ3
Q96M02	Q80XU3	A0A0G2JUR5	F6Q192	E2R5Z1
Q9H4E5	Q9R0H2	F1M7H6	G3X812	F1PDI0
Q5VZM2	P51855	P17108	F1N4F6	Q7YR73
Q9NQL2	P83714	D3ZTV3	Q9BH11	F1PIM9
Q15027	P46686	D3ZGM5	F1MVM0	F1PKW0
Q9Y239	P35454	A0A0G2JXQ5	F1N1P7	F1PFU7
O14981	P24399	Q9QUM8	Q2TBI8	E2RI49
P53602	Q9JME7	B5DF37	A7MBF7	F1PEG8
O75694	B1AWD9	G3V826	E1BN70	E2RD37
P23508	Q91VN6	Q80WY6	-	-
A5PL33	Q8R404	O35799	E1BFQ7	E2RHX7
P20933	Q9ES56	D3ZWP6	E1BP41	E2RQ06
Q9Y3A3	P24270	Q08163	E1BFA7	J9P908
Q9BTL3	Q9DCC4	-	-	-
P17252	O88712	-	-	-
Q16760	Q8BJK1	-	-	-
P04150	G3UVU2	-	-	-
P84022	Q64378	Q566E4	P63048	F1PBK4
P49427	Q80X73	Q5I0L3	-	-
P08047	P08113	M3ZCQ2	F1MPU0	E2RPW8
P14635	P35235	D3ZDP2	A8E4Q8	J9P404
Q9BR76	Q9CYN9	F7EWY4	E1BCQ5	E2QWY6
Q86YZ3	P20918	-	-	-
Q14137	Q8VE19	F1LPH1	F1MW86	E2QW66
Q14258	Q61510	P08592	A6QLA8	F1P603
Q9Y3C7	Q62189	P97520	Q2TBL8	E2RJE2
Q9Y6I3	O35218	G3V7L9	G3N3U9	F1PB35
O75324	P16056	Q6P7Q0	F1MYY9	E2RJT8
Q86UE4	Q61749	Q99PD6	Q1RMQ9	E2RPR0
Q15582	Q8QZX0	Q9R0Z7	E1BKK0	J9NS24
P35658	Q9WUA3	D3ZUY8	F1N7H0	P05124
P62826	Q61584	D3ZB71	E1BPK6	F1PUR4
Q12948	Q99JR1	P70600	F1MUK8	E2RIN4
Q86U70	Q9D1L0	A0A096MJC8	E1BJB5	J9PB31
Q12905	P68369	P34058	F2Z4E7	E2RFW1
Q9NZJ5	D3Z486	F1LML3	F1MN03	F1Q0V4
Q8TAF3	Q8K1B9	A0A0G2K562	A2VDK5	J9P1R3
Q9Y6N9	Q91VJ2	M0R3K1	Q3SZN2	E2RSS5
Q12769	Q9WVD4	D3Z8K0	G3X6E8	J9NRQ6
P05412	P05627	Q80U96	Q08E54	F1PSC4
Q9NV79	P70380	-	-	-
P63244	Q8K4Z5	D4A9D6	P62992	J9P5T5
Q8WUM0	Q6P5D3	F1M8Z3	-	-
P08588	Q62009	A0A0G2JSY7	E1BHJ9	J9NUK7
Q86UL8	Q9Z2U4	-	-	-
Q13084	P62075	D3ZEG9	G3MXH2	E2RSE9
Q8N5N7	Q5DTM8	P61203	F1MX93	J9NW79
P49755	Q8BH70	-	-	-
O14576	Q9QYA2	A0A0H2UHA6	Q2KJA5	F1P9F0
Q96NL0	Q6Q476	B5DF22	F1MR98	P11617
Q13268	O88310	Q62677	F1MAV8	E2RMU0
O75436	P23927	A0A0G2JZP9	A6H772	F1PTL3
P46779	Q91V55	Q3KR59	A3KMV5	E2R0L3
Q02878	P47911	-	-	-
P10827	Q64729	P35426	Q08DG6	J9P649
P61201	Q921J4	Q6GQY2	F6PSE2	E2RPY6
Q01826	Q62395	Q5BK43	F1MEW8	E2RJM3
Q5I6Y5	Q61098	F1LLX6	O02753	E2QVA5
P49585	Q8K4H1	D3ZV88	G3MYH0	E2R587
Q15084	Q00175	Q3KRF2	F1MC72	E2R771
O95817	Q61097	P27704	F1N556	F6UZ83
P23258	P97313	A0A0G2K2M9	F1MDX9	E2R2U3
Q6P5Z2	A0A286YCV9	D3ZPF2	-	-
P05423	Q8CI52	D3ZXD8	-	-
P19388	Q9JMA1	A0A0G2K0P9	G3MZE2	E2R4H4
Q15691	Q8R317	D3ZN95	G5E5C3	J9PAS9
Q9NP97	Q9JLB2	A0A0G2K2H4	E1BEI0	F1PEE0
Q9NX46	Q8BZ20	G3V9Y3	A5PJN6	F1Q488
Q3MIS6	Q99N14	-	-	-
Q92956	Q99LT0	F1M572	G3MXD0	E2R273
Q9Y3U8	Q9CQM8	-	-	-
Q15041	Q8BVU0	A0A0G2K9P4	Q32LM5	E2RKA3
Q9BQ24	Q3UP36	P16610	G5E5L9	F1PDW2
Q0D2H9	Q9QZM2	P09483	F1N5L7	F1PY69
Q96Q45	E9PZW7	D3ZRI6	E1BIC8	Q9ZZ60
P49790	G3X8Y8	Q32PZ3	F1N0T5	F1PLV2
P60033	P63330	F1LQH9	F1N0J9	E2RIW7
Q9NY65	P26687	-	-	-
P26639	Q3TWW8	E9PTG1	G3MZ71	E2RQE3
P10074	Q8C0T5	Q5FVJ8	A2VDP2	F1PGJ3
Q92613	Q8R1X6	A1L1K8	Q8SPU7	E2R6R5
P49815	Q6DFV1	-	-	-
P67775	P05784	F1LM33	F1MYC9	F1PUE0
P34932	Q7TMK9	G3V7T6	G3X7B5	F1PYE3
Q9Y5A7	Q9JKP8	F1LRI6	F1MME2	F1PTZ1
O00750	P31266	Q5S3S9	Q29RK1	-
O60506	P27659	-	-	-
Q9NVH2	A0A0A0MQF5	A0A0G2K9F8	Q17QN4	F1PEF7
Q5T481	E9Q043	M0R6D8	P10175	J9PB24
Q9BPU9	Q8K031	Q64230	E1BMX5	J9P990
P06576	P62192	F1LM66	A7MBC5	F1PRE1
Q9H0W5	Q80TQ2	-	-	-
P35408	Q9JHG2	D3ZNP4	E1BIG0	E2RMJ5
Q5VTB9	R4GML0	Q642E6	E1BH42	E2RQV8
P24941	D3YYU8	Q6P751	F1MX59	F1PW15
Q9GZV4	Q8K136	D3ZA78	P82925	E2R3W8
P0DP25	E9PYV1	F1LQT9	F1N757	J9NYY2
