O15116	P10598	Q91XL4	F1MRE1	E2R4V5
P08887	A2AIR5	A0A0G2K3R5	Q2TBN7	F1P8B0
Q96JP5	B1AWN8	A0A0G2K149	F1MMF1	E2RRC7
Q01201	Q9CY66	A0A096MK30	Q56JY1	F1PEI3
Q3ZCQ8	Q60931	B5DFC3	G3MXC8	E2RLB4
O43149	Q99PM3	P25110	F1ME85	F1PGZ3
Q99501	Q8BIE6	F1LVW9	E1BDI1	E2RAJ0
Q8WYQ5	Q5SXC4	D4ADG5	Q2KHZ9	E2RT69
Q9BZE4	Q60749	Q66HB1	F1MW83	J9NWB0
O00459	Q9QXJ1	G3V9T9	E1BDI4	E2RJF6
P00519	P98083	P61314	P48734	E2R0D6
Q9Y5B8	Q91XE7	D4A4J1	F1MPV4	F1PQE2
P67809	P23249	P17325	E1BE98	F1PI27
Q9NR30	Q5SF07	Q5FVM2	E1B9H3	E2RCL4
Q969P0	Q9CZX5	Q5XIC2	A5PKM2	E2RH57
Q8WUT4	Q70KF4	D3ZMN5	Q08DD3	E2RQW0
P04792	O88522	Q63768	P63243	F1PWW0
P19320	P20263	Q6MG27	Q2HJ23	E2RTC3
P22626	Q9D6Z1	D3ZJ54	-	-
Q9H4P4	Q8R3V5	Q6WN19	F1MMI9	F1PK69
O95405	E9PUE2	-	-	-
Q8NBJ7	A0A0R4J0U2	F1M944	F1N2H2	E2QVT4
P25398	Q9QZK2	-	-	-
P46778	Q6PDQ2	D4AC36	Q3SZI6	E2R068
O15533	O08856	F8WFM2	A4FUW9	E2QY36
P12931	Q8VEE4	P67874	F1MNS2	E2RLQ6
Q68CZ2	Q5DW34	Q5U2Y9	-	-
O75431	Q9D9V7	Q5M8B4	G3N1S8	E2RRI0
P55327	Q8VEK0	G3V8D1	F1MME8	E2RN54
O60216	Q60760	Q6XVN8	P17870	F1P861
P62081	P62082	Q63355	F1MVC0	E2QZG2
O76024	O35657	-	-	-
P56537	A2A9M4	A0A0H2UI20	G3X6V0	E2RD79
P62805	P62270	P12785	E1BEG2	E2RIA8
Q13619	A2A432	A1A5S1	A0JNC9	E2RJH5
O75526	Q501J6	D3ZSP7	Q5E9Q0	J9NV05
Q9GZQ8	Q8CG73	Q71UE8	Q1RMU2	E2R1V2
Q9Y2X3	Q9DBG3	F1LM55	E1BKJ7	E2RFV4
P02545	Q3UR42	A0A0G2JT93	-	-
P21333	Q9D0E1	Q9Z1P2	Q3T0P6	F1PHH8
P00441	P68134	F1M589	F1MYC9	F1Q462
Q9H0I9	A0A087WSN1	G3V8M6	F2Z4I5	J9P4D5
Q7Z3I7	Q6NXL6	D3ZQW5	E1BEV2	F1PNR0
Q04695	Q09XV5	D3ZRH6	F1MJ58	F1PE35
O00273	P63024	B4F762	F1MYV9	E2RJE1
Q71U36	P63280	Q7TQN4	Q9GJW7	E2RCF7
P04626	A2ARI4	Q8CFN2	E1BFZ9	F1P6C1
Q9Y5J1	Q08460	P11505	F1ME46	E2R5S2
O75400	P97496	D3ZY39	Q5EAD6	J9NRH2
P18583	O35261	A0A140TAD2	E1BIG2	F1Q292
P48730	Q9CPP6	P41542	E1BJ15	E2RE99
P56645	Q3V384	D3Z955	F1N2H6	J9NVG0
P46781	P52480	F7ENH8	G3N3W3	E2RBC3
P60866	P62889	F1M3U4	E1B9T7	F1PLS4
O95166	P26369	P62994	F1MYG5	J9P2Y0
P19474	P62631	Q7TPK5	F1N3G2	E2R5P9
Q9BVL2	Q9D4E6	D4ADJ8	F6QPE0	F1Q2S9
Q9H1M0	Q9D1J3	P0C5I0	F1MPB9	Q0ZFW8
Q8TBE0	Q8BH64	B5DEM7	F1MXN3	E2R1F6
P56749	Q61491	D4AAV5	-	-
O95990	G3UYL9	F1LS93	Q28204	J9JHR4
Q8N635	Q8BHK2	Q6AYH7	F1MJ96	E2RIM8
O15084	E9QMP6	D3ZWZ6	E1BKM0	A0A140T8E0
Q14315	Q9DCC8	Q9ESZ0	F1MIB2	J9P3Q8
O43324	Q8CGN4	Q6MG48	F6QCI5	E2QWC9
Q96JM3	E9Q6P5	Q02356	F1MSQ6	E2RS63
Q9UI09	Q80UY1	B4F7C0	A5D7K2	F1PP64
O43143	P84091	Q9JMJ4	F1MQB8	E2RSU7
P06702	Q60597	Q6DGF2	Q3T0N9	F1Q0Y1
P05067	P62259	B5DF91	Q08DH1	F6XBZ5
Q6E0U4	Q76KF0	D3Z9Z5	P10123	J9NWS2
O95997	Q80UG5	D4A8S5	Q08DH9	E2RRF8
P52948	Q80TR8	D4A4T9	-	-
P62068	Q07105	-	-	-
P62987	Q61584	-	-	-
P27635	Q8BWG8	Q6P502	Q9XSB5	E2RMN1
P46087	Q91VN6	Q673L6	F1MPT7	E2RPD7
Q9H4B6	P24161	G3V7I5	Q5EA77	F6Y816
P63000	Q3TQ39	P18418	Q17QP9	E2RRC6
Q9Y566	O35075	F7F9X9	Q5MD61	J9P3L1
Q68D86	Q8BUL6	D3ZM27	F1MKP1	E2RAH2
Q9Y3I1	Q9CY46	-	-	-
O43390	O70456	D3ZA49	E1BFB0	F1PKR6
P43243	Q99N15	Q4V898	F6R1H3	F1PL92
P50402	P43247	Q6P9V6	Q3SWX8	J9NS34
P86479	Q4VC17	G3V736	E1BD97	E2RF13
P10809	P62918	P11980	P61287	J9P326
P78371	P56480	P04961	Q3T169	E2R9T6
Q99437	Q8R023	Q66HT5	Q3ZC27	F1PP53
Q00537	Q9Z0E3	A0A0G2K1G4	-	-
Q9UHV9	Q60I23	O88791	Q3SZ00	J9P8W9
O14641	Q9D554	Q56R20	F1ME65	F1PTE0
Q66PJ3	P0C1P0	-	-	-
P05388	Q8CGC7	A0A0G2K719	Q0VCY7	E2RIB3
P24534	P60843	Q6AY09	F1MZ00	F1PLJ9
P09914	Q8C170	-	-	-
P60228	E9PWA9	Q9Z136	A6QLS4	E2R3H9
O75570	Q7TQG0	Q6PW50	F1MT15	E2RND7
Q9HCE1	Q01279	G3V6K6	Q3ZCE2	E2R9K4
Q9NPA3	Q9CXU1	D3ZUW6	A6QL81	F1PZ86
Q9UMX9	Q8C7R7	Q3MIE9	E1BGT6	E2R422
Q8TC92	A2A9C3	Q04400	P12661	E2RB28
Q9Y2T6	Q8BTX9	Q5XIE5	G5E5F3	-
Q07001	Q8K450	A0A0G2K9K6	F1N0N5	J9NUM9
Q6T4P5	Q9QZL9	G3V962	E1BET1	E2RJY0
Q15427	P10107	F1LPP8	G3X6J7	Q5WR10
Q9Y4P3	Q99K85	Q2I0Y6	Q1JPJ2	E2RFL4
O00744	Q99LM9	P67779	E1BIS9	F1Q3L3
O75170	Q08642	D4ADN6	F1MSE7	E2RFQ2
Q96FV9	Q9D7W5	G3V6M0	A4FV15	E2QYW0
Q96QD9	P21237	D3ZPI8	Q2TA24	E2RP88
Q3LI72	Q99M73	D4ABP4	F1MW90	F1PUX3
P61313	Q923E4	D4ACB8	B0JYP5	E2R0L3
P63173	Q99JB2	D4A648	A2VDN9	E2RKR4
Q9NP64	Q4G0B8	A0A0N4SWI7	Q08DP6	E2QVY8
Q9UQ35	P80314	G3V7T6	G3N262	E2RR33
P35908	P63276	P11475	A6QLS3	E2QY54
Q13618	P05627	B5DF02	-	-
Q15717	Q61510	P62260	Q08E54	F1P603
Q96A54	Q8K2J7	D3ZV74	Q3MHY7	J9P811
Q92783	Q68FL4	-	-	-
P62140	O08749	D3ZXC6	G5E5N3	F1PSB7
Q14160	Q9WUK2	-	-	-
P0CG47	P62702	O35303	E1B8P9	F1PQ29
Q7L4E1	Q7TSG2	D4AE70	F1MPE2	F1P9L2
Q15398	O09131	Q5BJZ9	A6QR12	E2QXC1
P05362	P27773	Q66H76	Q32L87	F1P6L5
P16989	Q61187	D4A5I9	F1MXS1	E2R792
Q15020	Q8CBW3	A0A0G2JWU7	F1N593	F1PZP6
Q6P4R8	Q64336	G3V8V1	F1MUR7	E2RJ07
Q6PI98	Q99M02	D4A416	A4FV55	F1PQ25
P52757	P40336	F1LT09	C1JZ67	-
P19174	Q9R190	Q5XIH7	Q0VC27	E2RNG4
Q9UNL2	Q3V1L6	F1LPG6	Q2HJB1	E2RJ32
A1L188	P08207	P70579	F1MSL3	E2R538
Q5RL73	Q9Z0P7	D3ZB14	Q1LZ96	E2RCI0
Q99963	P51949	F1LNI0	F1MJW3	E2QXS9
Q8N3Z3	Q8K314	G3V819	F1MIF5	F1PPR5
P38919	P29595	P28480	Q3ZBH0	F1PAI7
Q9UKV8	Q80U70	Q68FR9	F1MWD3	E2RGJ9
O75792	Q9QZ03	P16610	F1MX07	F1PHI9
P62807	Q9CXW2	A0A0G2JZI0	Q08DZ2	E2QUX8
P62273	Q05186	Q6NYB7	F1MP07	J9NZR2
Q9NY93	P29477	D3ZVQ0	F1N1V3	J9JHD4
P53350	Q8BL97	Q64428	G5E577	F1PVC5
Q12834	Q8R550	P24528	-	-
P21281	P61202	D4A3K5	Q08DH0	F1PQ32
P41252	O55234	B0BNK1	E1B7X9	E2RF06
P28066	E9PUK6	-	-	-
P61289	Q6P549	A0A0G2K0Y2	F1N719	E2QYD8
Q7KZN9	Q9D2G2	-	-	-
Q14152	E9PVA8	P62246	Q6XZP8	L7N0I7
Q09472	P54823	D3ZHL1	F1N619	J9NWL1
Q9Y4C1	Q5SXS3	D4A934	F1MEB1	J9NS77
Q9H9L4	Q8VDQ9	-	-	-
Q9Y6K9	B2RUG9	Q7TP47	Q1RMR2	F1Q298
O95573	Q6PAR5	R9PXU4	Q58D08	E2R706
Q96RY7	Q80W99	A9CMC8	F1N213	F1PBW9
Q8WVE0	Q8R4C2	A0A0G2K3Q3	G3N186	E2RSL6
Q99608	B7ZC55	A0A0G2JYL3	Q5EA45	J9P381
O43463	P35278	P80386	E1BK34	E2QS16
Q13547	P23804	P34058	F1MSV7	J9NV67
Q86SQ7	Z4YJY0	Q5M853	Q148G2	F1PBT7
Q9Y4K3	O35864	-	-	-
O15372	P10922	D3ZEI0	F1MXH6	P62822
Q13283	P20029	-	-	-
P46934	Q99PV0	A0A0H2UI22	Q2KJ25	E2REI6
Q9P1Z2	Q64700	A0A0G2JSJ5	F1MTI4	E2RIM4
Q16666	Q8BUN5	Q5U3Z7	A5D984	E2RB53
Q8N7H5	Q91WG4	Q62622	Q3ZBV4	F1PSX8
P14868	Q9DBC7	A0A0G2K9V0	-	-
O75147	D3YYU8	D3ZP96	F1N506	F1Q2L2
P13647	Q9JIX8	G3V7U4	E1BFI4	P67780
Q9BTF0	Q9EPW4	D3ZTR5	A2VDQ4	F6Y8N2
Q9Y5X2	Q9DBX7	P61621	A8QW09	E2RMF9
P22607	P53612	Q8K4J7	E1B7E9	J9NX12
Q8NEM2	Q62392	-	-	-
Q9NQX6	Q9QZM0	-	-	-
P35226	P39688	O35346	E1BEI6	E2RD95
Q12986	P41971	A0A0G2JUG3	F1MN94	J9P7L9
P27448	P48316	Q3KRE0	Q0IIJ9	E2R0I7
Q86V81	P61514	Q6P685	F1MYW4	E2QVV3
O43157	Q9Z1J1	A0A0G2K6Y2	F1MLL8	P27597
Q9UHP9	A0A0R4J093	A0A0G2K0K3	G1K192	E2RMU5
O43663	Q61362	Q569B7	A0JNB5	E2QU89
P35900	Q02357	A0A0G2JTN4	E1BLA8	E2RPU3
P43026	Q69Z89	D3ZK76	Q6IED8	E2QWH0
O60779	B1AZP2	Q6AYR6	Q3ZBB6	E2RIE9
Q96KP1	Q8VC34	D3Z8B6	A2VDR3	E2REZ2
Q9UBU9	P12023	A0A0G2K5U0	F1MC14	F1PSC4
O15525	P05201	D3ZVN7	E1BMR4	E2RKA3
Q9HB75	E9QPU2	Q80ZD7	F1MP39	E2QYS1
P50552	Q9D8M4	Q9ER24	Q08DJ8	E2R9A2
Q13620	P58252	A0A0U1RS25	P09867	F1PX22
Q14978	P62331	F1LP66	O46680	E2RMM3
Q9UQ88	Q8JZN5	Q5U4F3	G3MYT6	E2RKV6
P01889	Q91V81	P70582	F1MQE1	J9PAG9
P68366	P63038	E9PTN4	F1MZ92	F1PYD2
P0CG48	Q6P5F9	A0A0G2JZG2	Q76LV2	E2RLP4
P06241	Q7TQI3	D4A3X8	Q5BIN5	J9NYY2
Q13111	Q8C8U8	F1LU97	A6H779	F1P8Q5
Q969Q4	Q62386	Q569A2	F1MT19	F1PIW4
P30480	O89086	M0R3S3	F1N0W7	F1PHD2
Q99873	Q91W50	Q5M830	Q08DU9	E2RNY1
Q9UFF9	Q91VS7	G3V7V2	F1MQ09	E2RSG8
P51151	O54707	D4A5S9	A4IFC0	J9NRI2
Q9H6L2	Q9ER64	P41740	F1MQD9	F1PMG6
Q16795	Q9WU78	Q03114	-	-
Q9Y4W6	P84078	G3V9R0	G3X7P3	E2RJ88
P39023	P63087	Q6AYN8	F1MWE0	F1PSQ3
P62750	P84099	A0A0G2K612	F1N4M9	E2RP05
O43193	Q6PDK0	F1LR63	E1B8U4	F1Q4E0
P12872	Q9R097	O89037	F1MMW2	J9NTW7
Q16643	Q9D6R2	Q3ZAV8	F1MJM0	E2RRM0
Q9ULV0	P70665	Q6AXZ5	G3N1Z2	J9NVD5
O43815	P97325	F1LSH3	F1N0K4	F1PBK0
Q13133	Q8K0Z7	-	-	-
P30153	Q8BVQ9	F1M4J0	P04272	F1PGL9
Q8NDD1	Q8K2H3	D3ZXS8	F1MYV8	E2REH6
P42345	P14131	F1LVT8	Q2HJ60	J9P385
Q6IAA8	Q9D9V4	M0RCC8	E1BFF2	E2R1M8
Q14669	Q921G8	H9KVE7	E1BKU2	E2RDB9
Q15562	O54693	D3ZLN7	G3X6H5	E2R0Q9
O60260	A0A0R4IZW5	P60517	-	-
P68104	Q60972	B2RZ68	F1MWR8	E2RDC4
Q9NV56	Q07813	P32851	Q5E9S2	E2RSU0
Q5S007	Q5S006	Q9WUD9	Q0P595	F1PYE3
Q9P209	Q8BM75	A0A0H2UHB6	E1BD87	E2QY50
P53621	Q8BL66	Q5M9F1	F1MHM5	F1PBV4
Q02978	Q3UHB2	Q63357	G3N316	E2R0U3
P67870	G5E884	A0A0G2JW78	A6H7J6	F1PVJ7
P62241	Q9D8E6	Q5XIM9	F1MQ37	E2R8D6
Q92665	Q9D0N7	A3KNA0	F1MMX9	E2R111
A0A087WY75	Q9DC37	P02091	A4FUY0	E2R0H4
Q504Q3	Q8BK64	-	-	-
Q16539	E9PYF4	Q1JU68	F1MIF2	J9NRX2
Q99956	Q91YN1	Q3KR86	F1MSD5	E2R4D0
Q15042	P43406	D4AAU5	A5PKL2	E2RHQ8
Q9BSV6	B1AY26	A0A0G2JWH0	O77802	E2R1I9
Q5BVD1	A0A0R4J0C8	D3ZAF5	F1N338	F1PR09
Q92985	Q8BK06	F1M3N2	Q0VCC9	E2R5T3
Q13523	Q9D0F6	Q5XIL3	Q863B3	F1PBH2
Q9UJV9	Q3UMA3	P41777	Q58DU5	Q2KM13
Q08170	A0A0R4J2B5	Q8K4I6	Q0VCL5	J9NRK3
Q9H307	Q60855	A0A0G2JSQ6	Q3SZM1	A0A140T8E6
Q9UJM3	Q9WUE4	D3ZM60	Q3MHP2	F1Q0Z5
Q15022	Q3TE40	A0A0G2K761	Q3ZCC3	E2R436
Q92597	G3UZH0	Q62920	A7E3S8	E2RMY0
Q8WYC7	Q9CXZ1	Q5BJN8	E1B796	F1PB20
Q8WYE2	E9Q8I7	P04218	F1MBS6	F1PNA2
P09622	Q3TCH7	F1M3D3	-	-
Q14974	Q9ERK4	Q3ZAV2	E1BPU0	F1PBJ4
Q92832	P04117	D3ZZL3	F1N086	E2QZ29
Q9C0F1	Q99NB8	-	-	-
Q8IYB0	Q9D7J9	-	-	-
O43633	Q14BI2	Q08388	E1BP93	J9P4B2
P51148	A0A1D5RLB0	G3V8K7	Q17QK5	F1PI42
Q9UKV3	P34152	Q6MG49	G5E5C4	F1PJY9
Q9Y383	B1AR17	Q5XHY5	A6QNZ7	J9NZX6
Q10570	O08807	O08769	F1N2A9	F1P7Q7
Q16514	E9PW37	M0R6T1	Q1RMM5	F1P8R6
P09651	D3YZV8	P69897	A0A140T894	F1PGY1
P49406	Q8CI43	Q5U214	G5E567	J9NUL5
P17181	Q99PV5	A0A0G2K6B7	E1BP18	E2R8U5
P38484	Q9JHI2	Q9QZ76	A0A140T8A0	E2RCB0
Q00535	Q99LH1	R4GNK3	F1MCX4	F1PXT8
O94915	Q60979	F1LMI6	F1N450	F1PDN2
P62136	P02340	P35213	F1MX59	E2R000
O60341	A0A0R4J0T0	Q56A33	F1MD32	E2RHV6
P80217	Q8VHI3	-	-	-
P82912	P54822	F1M9N7	F1N0S5	E2RFR6
Q92905	Q9CQ60	D3ZMQ3	Q0V8H6	F1PW15
P07711	Q9WVI9	Q5M7T2	E1BLB4	F1PG08
P15692	Q923G2	A0A0G2JZE4	Q3T0Q0	E2QY91
Q13153	Q8BL48	Q9ET50	E1BJ64	E2RRT4
Q96M02	Q8BJM7	A0A0G2JZX5	-	-
O00238	Q8BXK8	G3V8L1	F1N0D2	F1PVV4
Q9H4E5	Q80ZJ7	A0A1B0GWU7	E1B8K5	F1P9C3
Q5VZM2	Q9JIA7	D3ZVF3	F1N4L8	E2QZQ5
Q9NQL2	Q8R0C3	F1M5M9	Q2T9V9	F1PZI2
Q15027	Q8VE19	Q6P7A6	G3MYU9	F1P9Y4
Q9Y239	P97865	B3DM97	-	-
O14981	E9Q2H1	A0A0G2JVZ6	F1MMK2	F1PKI6
P53602	Q9D8B1	B5DEQ1	Q58D45	F1PW92
O75694	Q9JJA4	B0BN68	F1N650	E2RBF2
A5PL33	Q8K0E1	D4AB70	-	-
O96008	Q9ERD6	E9PSN4	-	-
P20933	O89016	P22449	Q0P5J8	E2RI15
Q9Y3A3	Q3U5V8	B5DF86	F1MJD0	F1PK44
Q9BTL3	Q60857	D3ZXU1	E1BLS0	E2R8E8
Q16760	P10518	-	-	-
P04150	Q9DBH0	Q9QZC5	F1MXB2	E2QZV8
P84022	Q3U133	P29067	E1B9D9	E2R0H0
P49427	Q9DC48	P18395	F1N458	J9P1Q3
P08047	P47757	Q641Y8	A5PJS6	F1PUB9
P14635	Q9D483	P15337	E1BMM0	E2RHM4
Q9BR76	Q08376	O88794	A7MBC0	F6XIB7
Q86YZ3	Q8K297	Q8VIJ4	F1MVF1	F1PHK9
Q14137	P70460	P50399	P22292	F6XCI1
Q14258	P63101	D4A9N5	P62261	J9P9V0
Q9Y3C7	Q8R2Q6	Q9JHX4	E1BDF7	F1PFK4
Q9Y6I3	P22893	B7X945	F1MUD4	J9NS42
O75324	B2RRE7	Q6TXG8	Q32KZ9	J9P931
Q86UE4	P31996	A0A0G2K7S6	A5PK75	E2RE84
Q15582	P52785	D3ZJB2	A5D7L0	E2RH44
P35658	Q569Z5	G3V6H5	Q2HJ26	F1PFX9
P62826	Q9EP71	B2GV41	Q5E952	F1PGU6
Q12948	Q64318	Q5EAN7	F1MDT6	J9NV61
Q86U70	G3UWG2	F7EPU7	Q3SZJ2	E2QU52
Q12905	P11983	O08837	F1MMD5	F1PUX4
Q9NZJ5	P56387	P48500	F1MUR5	F1PYX9
Q8TAF3	Q6P2B1	-	-	-
Q9Y6N9	Q8BVU0	D3ZLU5	E1B7K3	J9P8P8
Q12769	Q922W5	F1LSM5	E1BM23	E2RAH4
P05412	Q9JLV5	P35739	A6QLA8	E2R6T4
Q9NV79	Q8CEI3	D3ZE93	G3X6U1	J9P8J4
P63244	E9PZB3	P27008	Q2TBQ5	F2Z4P2
Q8WUM0	Q8BGS0	P69736	E1BE88	F1PAH7
P08588	F8VQF9	Q9EQ23	G3X691	E2RGD0
Q86UL8	Q5SS91	Q568Z9	F1N6R0	J9P0Y8
Q13084	P70297	-	-	-
P49755	Q9WVM3	P09606	Q9BEG9	E2FGH5
P49768	Q91YL2	F7ESX8	Q58DR7	E2RC12
O14576	O70585	Q3KR54	F1MI76	E2RRS4
Q96NL0	Q6IE21	M0R9F7	F1N748	E2RLP1
Q13268	Q14DQ1	G3V6C5	Q08DV2	F1PUY6
O75436	O89079	D3ZHM7	A2VDU4	P18066
P46379	Q64727	F1M4T6	F1N0J9	F6Y5W4
P46779	Q8VI36	M0RCY2	F1N218	F1P890
Q02878	Q91V55	Q07936	E1BBL0	E2RB81
P10827	Q7TSC1	B4F778	A6H7B6	E2RKY3
P61201	Q6ZQ08	A0A0G2K9Y6	E1B7S3	J9NSF3
Q01826	Q9JIB0	Q6MFY9	E1BLR4	E2R345
Q9C009	Q9CXE6	-	-	-
Q5I6Y5	Q8CDC7	Q5PQU0	Q2KJH1	E2R680
P49585	Q9D0M2	D3ZR49	F1MZB5	J9NVB2
Q15084	Q8BHN3	P70501	E1BM26	E2RLU4
O95817	Q9Z1Y4	Q5XIF4	E1BE92	A0A1W2NCW3
P23258	Q04207	F2Z3Q8	Q3SX24	F1PR47
Q6P5Z2	A2ALU4	A0A0G2KAE5	E1BD35	E2RL77
P05423	Q9D2N9	Q91XV6	F1MTV7	J9NYD0
P19388	Q91Z50	B0BND9	Q3ZCA7	F6XMN6
Q15691	Q62093	Q5U302	A0JNE6	F1PUT6
Q9NP97	Q3UF64	P35284	Q5E9A0	E2R3M6
Q8WWY3	O35685	Q6MGC3	Q05B74	E2RFS7
Q9NX46	Q8C407	B0K034	Q3SZ46	E2R9F7
Q3MIS6	Q32Q92	Q9ERZ8	G5E5S3	J9NW92
Q92956	P0C0S6	B0BNB1	A6QNL2	F1PQD3
Q9Y3U8	Q9D0M3	A0A0G2JSH9	F1MZT7	E2RET1
Q15041	P12968	D3ZYT3	Q08DR7	F1PAF9
Q9BQ24	Q922Q5	A0A0G2K9F0	A8E4M9	J9P3E8
Q0D2H9	O35652	F1M9K2	Q3T126	Q8HYB0
Q9P2P5	G3UXW9	O55173	G3N2X5	J9NRM2
Q96Q45	Q8BGA8	D3ZXH8	F1MFE7	E2RAV5
P49790	P81270	D4AB23	P19803	F1Q4I1
P60033	P53996	D4AE24	A7MB57	E2R7P6
Q9NY65	A0A2I3BQS6	D4A678	A6QR19	Q8HZV4
P26639	Q8R2U0	Q66HP1	F1MZT2	F1PEI2
P10074	B2RR82	-	-	-
Q92613	E9Q5M9	-	-	-
P49815	Q80VD1	Q91Y81	A5PJQ1	E2RIB8
P67775	P39689	A0A140TAG9	Q17QG8	J9NRV4
P34932	P11499	A0A0G2JVC1	P48616	E2RQC9
Q9Y5A7	A0A0R4J1N6	M0RDI5	A5PJW1	E2R3J1
