O15116	Q6IWE2	D3Z9A7	E1BAZ2	F6UP55
Q9BZK7	Q91XU0	Q5U312	A5D7P0	L7N089
Q96SN8	Q7TN29	A0A0G2K4Q5	Q85BD6	F1PIZ3
Q99598	Q99MQ3	-	-	-
P09629	O88207	-	-	-
Q9Y616	D3Z757	Q811X6	F1MHG4	E2RH44
O14829	Q8CHB8	Q6AYG7	Q9NZ50	J9NYJ9
O95831	B1AUN2	D4A769	F1MBN2	F1PZL7
Q13469	P98083	D3ZMS1	E1BPQ4	J9NUP0
Q13888	P59281	Q5XI58	F1MH42	E2QT21
Q01105	Q569Z6	Q91XJ1	Q2LGB8	F6XXN3
Q16851	Q8BTF7	D4A3X3	A4IFC8	E2RE81
Q9NVV4	Q8VE18	Q5U2R4	Q2KJ32	F6V7F8
P62263	Q9JIK5	O35303	F1MMD5	J9P7Y9
P62266	P63280	D3ZXC6	E1BML0	F1PQT6
P40425	Q8R3C0	Q5U2Z2	F1MV75	F1P6M8
Q7L5N1	P62315	P12841	E1BFD5	F1PJ65
Q13148	P62264	-	-	-
Q9Y6M1	Q02053	F1MAL5	F1MM59	E2RH48
P63279	Q9CQM8	F1LNF1	F1MC48	F1PLR0
Q9UHF7	P97329	B1WBN0	E1B7W5	E2RSV4
P06493	Q7TQI3	Q6P736	F1MH34	F1Q1K6
Q99661	Q60931	E9PU15	G3X6J7	E2RLB4
O14976	Q9CQS2	F1LPK1	-	-
Q5T0W9	Q91W89	D3ZFP6	Q58DN8	F1PJ35
Q16352	Q9EPJ9	F1LRQ6	F1MR31	J9JHU7
Q9H2C0	Q80U72	P62828	A6H788	F1PVA9
Q562F6	Q91YP6	A0A0G2K906	F1N7C9	E2RBR4
P49257	E9QPE2	D4A2Z8	F1MFD4	J9P7B9
Q12946	Q6ZQ18	A0A0G2JUI2	F1ML50	F1PAH9
P08684	Q8VI67	F1LMS1	Q07112	J9JHK2
P17612	P70371	Q3T1K5	A1L528	E2RGT8
O43395	F8VQ72	Q641Z4	F1MSM3	F1PRH7
P62318	P35980	F1LV21	F2Z4J4	J9PAY8
Q07812	Q8CFZ5	Q6AXT3	E1B8U7	F1PIV3
Q9NS69	Q63943	Q4FZR5	Q3T0Q6	F6V0G0
P08887	A2BDX4	D4A7M5	E1B860	E2RTF8
Q96JP5	Q922Y1	B5DEQ4	E1BH31	J9P0A5
Q01201	P11798	D4A5S9	P80177	B2CPZ8
Q3ZCQ8	Q99M87	Q07008	A4IFA2	E2REP2
Q99501	Q9CXJ1	B8ZHC9	F1N429	Q32KH6
Q8WYQ5	Q61526	F1LVV3	F1MDU7	J9P7R8
Q9BZE4	Q62093	F1LP34	A5D989	J9P1L5
O00459	P28656	Q5XI32	G3N3W3	L7N050
P00519	Q9WUD1	P62138	Q3T0Y1	E2RP05
Q9Y5B8	Q71B07	Q8VH46	G3N248	J9NV63
P67809	P07901	Q63768	F1N506	F1PKW7
Q9NR30	P63325	Q5M9F1	Q2KHT7	F1P7S9
Q969P0	Q8BP00	A0A0H2UHH7	F1MIU2	F1PRZ1
Q8WUT4	P56380	D3ZRM2	G3N0N9	F1PVD8
P04792	Q60864	P52631	F1N169	E2QSF4
P19320	P70196	-	-	-
P22626	Q9CXY6	P11980	F1N0E5	E2RMR3
Q9H4P4	Q8K0G5	B1WC49	Q0V8G3	E2RQK2
O95405	Q7TSZ8	O35240	A4FUE4	F1PY54
Q8NBJ7	Q9DC58	F7FM32	F1MQD9	F1P7Z1
P25398	P70333	D4A1H8	F1MGY2	F1Q1T5
P46778	Q9Z1X4	P84092	P56701	F1PLS4
O15533	Q99MZ7	Q32Q07	F1MQX0	E2REG8
P12931	Q61545	Q62844	E1BIG2	-
Q68CZ2	P07758	-	-	-
O75431	Q9D2S4	D3ZEZ3	E1BNL1	J9P6J7
P55327	Q8K1R3	-	-	-
O60216	E9QNX9	G3V679	Q3ZBD7	E2RHX1
P62081	P27659	B1WBY1	P09867	F1PVY3
O76024	Q99J39	Q9QYU3	A0JNK0	F1PL95
P56537	Q62376	G3V7N4	P45879	F1PV61
P62805	Q921K2	P16086	G3MX90	F1PX83
Q13619	Q9WTI7	A0A0G2K3V7	F1N719	F1PJY9
O75526	Q9CQ56	Q3B8P4	F1MZ69	F6XM14
Q9GZQ8	Q91VR7	-	-	-
Q9NX70	P08752	Q9Z336	Q1LZB5	E2QX15
Q9Y2X3	Q9WVA3	G3V836	Q2KI22	E2R107
P02545	Q9CQ60	A0A0G2QC09	Q0V8H6	E2RR01
P21333	G5E866	P62632	A0JN39	E2R7T4
P00441	E9PYV1	F1LQH2	G3N0R1	F1PQ93
Q9H0I9	Q3UIF3	M0R7M4	E1B8K4	F1P949
Q7Z3I7	Q9DA08	M0R629	P25975	E2R103
Q04695	Q5NBX1	Q9ER24	Q2YDI5	E2R5S6
O00273	Q8BJY1	F1MA20	Q08DS5	F1PA98
Q71U36	P56480	A0A0G2K099	G8JKY0	F1P9J3
P04626	Q9Z0H3	-	-	-
Q9Y5J1	Q91YW3	Q63185	G3N0W8	J9P748
O75400	P62874	D3Z902	F2Z4C4	J9P5H1
P18583	O08807	Q6VEU1	E1BER6	F6V909
P48730	Q61390	Q9WVJ6	F1MY71	F1Q330
P56645	Q9CYZ6	O88759	E1B7G4	J9P4G7
P46781	P97855	B5DF98	Q3T106	F1PGP5
P60866	Q6ZWN5	Q4KLK7	A0JN52	E2RIQ8
O95166	Q8R3R8	A0A0G2K612	Q2KI86	E2RQU7
P19474	Q99K48	Q6P685	F2Z4H8	F1PTY1
Q9BVL2	A0A0R4J0N5	-	-	-
Q9H1M0	Q5XFZ0	Q8R491	Q0VD44	J9NTW8
Q8TBE0	P30282	F1MAL8	-	-
P56749	Q9DBS5	Q6MG06	E1BD38	E2RCQ9
O95990	P17047	D3ZV52	G8JKV7	S4R144
Q8N635	Q3LAC4	D3ZZL8	-	-
O15084	Q7TNS8	P26794	E1BL90	E2RD27
Q14315	Q5U4D9	-	-	-
O43324	Q99P72	P62501	F1MXY9	Q38JA9
Q96JM3	Q9WUA2	G3V649	A6QQ46	E2RAT0
O75251	Q5U5Q9	A0A0G2K327	G3X687	E2RPV8
O43143	P16546	Q4QQV0	P81948	F1PM01
P06702	P61164	Q6P7B0	A3KN07	E2RHC1
P05067	Q61510	P35739	Q08E54	F1PTE2
Q6E0U4	P70377	Q4QQU9	-	-
O95997	Q8C9X6	D3ZHW1	Q2KI45	E2RID1
P52948	P06240	A0A0G2K8V2	O46680	E2RA27
P62068	P53564	Q5S6T3	P68107	Q9ZZ58
P62987	P83887	P42123	F1MJ55	F1Q3H1
P27635	Q61188	A0A0G2K761	A1XG22	J9P393
P46087	A2A7S7	F1M5H6	A7Z038	E2RS70
P28799	Q9DC71	Q6IFV3	Q2KI54	J9NVX6
P63000	Q60930	Q6P7A7	A6QR16	J9P969
Q9Y566	Q99K60	Q63941	F1MWV0	F1PB77
Q9Y3I1	E9PZ26	-	-	-
O43390	Q9CZN7	G3V8S2	F1MI47	F1PEV7
P43243	Q8C2Q3	A0A140TAG9	F1MKX7	E2RH57
P50402	Q9CQF3	O55099	F1N2B6	E2RKR0
P86479	Q9DCX1	D4ADG3	F1MQD5	J9PB77
P10809	Q922I7	B0BMW2	F1MGG8	E2RM61
P78371	P22682	Q6AYN8	Q2KJJ0	E2RBC3
Q99437	O54931	Q01129	Q9XSC6	E2RHZ2
Q00537	P28028	A0A0G2JSQ5	A5PJU0	E2QYZ0
Q9UHV9	Q3U0V2	A0A0G2K0M5	Q0VC27	E2R9B4
O14641	Q3UM33	D3ZPY2	Q1LZA9	F1PDC7
Q66PJ3	Q3UGF1	Q920A6	F1MD36	F1P7I2
P05388	Q8BTI8	-	-	-
P24534	Q8VDM6	F1LMH8	F1N2X7	F1PYQ1
P09914	Q9Z0J4	G3V9C5	-	-
P60228	Q8VEM8	Q6AY58	F1MS25	F1PZ47
O75570	P35979	-	-	-
Q9HCE1	Q61767	Q63429	-	-
Q9NPA3	Q3UYK3	D3ZAA3	Q3SZV7	J9NYE3
Q9UMX9	Q9CZJ6	A0A0G2JYZ1	A7E3R1	J9NZN0
Q8TC92	P30882	Q4KM77	Q9BDR7	J9P2Y4
Q9Y2T6	Q8C025	Q6AZ60	-	-
Q07001	Q9D5N9	P27926	E1BF38	E2R560
Q6T4P5	Q6P6M7	F1LWB7	E1BD93	E2R232
Q15427	Q9Z2X8	D4ADV8	A6QLZ0	F6Y4G8
Q9Y4P3	P68181	E9PTF3	F1MSR6	F6XGZ6
O00744	P29387	A0A0G2K3P2	E1BI29	E2RM69
O75170	P21278	Q9Z254	A0A140T874	F1PH54
Q96QD9	P26883	A0A096MKH2	E1BIF7	E2R9N5
Q3LI72	Q9CRW3	-	-	-
P61313	O08749	Q5XHY0	A2VDX8	F1P890
P63173	Q9D8N0	P62246	F1MXG8	F2Z4P1
Q9NP64	Q8BP86	A0A140TAJ5	Q2HJ18	E2RGY5
Q9UQ35	Q8JZM7	Q6P3V9	Q3T169	J9NVE6
P35908	A0A1B0GSR7	Q6AYT3	E1BDI4	E2RHY7
Q13618	P70372	A0A0G2K5U0	E1BE98	J9P383
Q15717	P12023	B5DF91	P63103	F1PSC4
Q96A54	Q8BH86	-	-	-
Q92783	Q64364	-	-	-
P62140	P16627	B2RYQ2	A7Z025	F1PLV2
Q14160	Q9D415	D4A8P8	A6H7B5	E2RPI9
P0CG47	P63330	C0JPT7	G3N1T2	J9P2P4
Q7L4E1	Q91YS8	P97685	Q58D08	E2RP92
Q15398	F6YRW4	D3ZBN3	F1MES6	J9NY29
P05362	P42227	R9PXV5	Q2YDE9	J9JHH7
P16989	F6SKQ8	D3ZNU1	Q32L22	F2Z4N7
Q15020	P24369	Q56AP7	E1BEI6	F1Q3I7
Q6P4R8	Q3V0C5	Q5M9F8	G5E675	F1PJ63
Q6PI98	Q99JT9	D3ZZA5	E1BIW9	F1PHU2
P52757	Q9JKR6	D3ZDU2	G3N263	F1PYU3
P23458	Q02085	Q9ES73	F1MW45	E2RBB8
Q9UNL2	Q8CIM8	G3V8G5	G3N191	E2RIG1
A1L188	A2ACG1	D4ADU7	F1MTQ6	F1PVD1
O75439	O70252	D4A631	A6QP68	E2RNK3
Q5RL73	Q91WJ7	D3ZIE3	A4IFJ7	F1PEK2
Q99963	Q9CR55	B2GV94	P00515	E2R9L4
P52815	Q9WUL6	Q6AXT8	F1MLV1	F6XQD6
Q8N3Z3	Q9D9N8	F7F4B1	Q2TBN8	J9P8T0
P38919	F8VQI6	Q923V4	E1BPU0	E2RSH8
Q9UKV8	Q4VGL6	F1LS98	Q2TBX5	E2R990
O75792	P47968	A1L127	O97790	E2RNW1
P62273	Q8BVY0	G3V6N1	F6PR67	H9GWA4
Q9NY93	Q9QZD9	Q9JK11	Q3T147	F6UV28
P53350	A2A432	Q920L2	Q1RMT6	J9NYU7
Q12834	P86048	A0A0G2K2C7	E1BHU1	J9NVR5
P21281	P27512	-	-	-
P41252	O35643	O08769	Q3ZC98	F6V1U9
P28066	Q9D0M3	D3ZRI9	F1MWH2	E2RA73
P61289	Q8CBC7	D3ZFT1	E1BL00	J9P8Y5
Q7KZN9	P83510	-	-	-
Q14152	P83882	E9PT65	F6RAG5	F6ULR2
Q09472	O09106	P29534	E1BIS8	-
Q9Y4C1	H3BK33	F7EPH4	A5D7C5	J9P5E3
Q9H9L4	Q9DB25	Q5M9I5	Q2T9Y6	J9NX18
Q9Y6K9	Q80U70	P80386	Q58DA0	F1PQM2
O95573	Q8BGS1	P17246	-	-
Q96RY7	P81067	A0A0G2K568	E1BDQ5	F1Q117
Q8WVE0	Q80ST6	D4AB25	Q32LL6	E2QTH4
O43463	P23116	F1LQ81	F1MC11	E2QUQ3
Q13547	P62137	Q59IV8	A7MB35	F1PIA2
Q86SQ7	P70665	A0A0G2JX31	E1BK89	E2RJ96
Q9Y4K3	Q9QZN4	-	-	-
O15372	Q99PL5	P02688	P33672	F1P9L9
Q13283	P39688	Q4QQW4	F1MM83	E2R8N8
P46934	Q8CA72	Q4QQV2	E1BLI9	J9P5Z1
Q9P1Z2	O35615	F1M6B3	F1ME22	E2RCZ4
Q8N7H5	Q8C754	B0K020	E1BG73	E2RPY6
P14868	E9Q0B8	F1M953	A6H767	E2RJL3
O75147	Q91YI4	P60517	Q3SZ11	J9P2Y0
P13647	Q8CG47	A0A0G2JWA8	F1MZ46	E2RKK6
Q9BTF0	F7BWD7	D3ZAR9	E1B8J6	J9P9E9
Q9Y5X2	Q8C2E7	D3ZTG6	Q0Z7W6	J9P908
Q14289	Q64511	F1LRC6	E1BMW9	J9P023
Q8NEM2	Q8CEC6	Q5PQS4	F1MN37	Q9GKP2
Q9NQX6	Q9DAN6	Q01205	E1BN35	E2R7A5
P35226	Q60631	G3V9P7	Q2HJ27	F1P7T4
Q12986	Q9DCT2	M0R7E6	F1MU79	J9NZ27
P27448	Q9CPV3	-	-	-
Q86V81	Q6PB66	P41777	F1MWN1	F1PEN6
O43157	Q61329	M0R5R0	Q3SZZ7	E2RN66
Q9UHP9	Q8CJI4	A0A0G2K864	F1MX37	F1PRE7
O43663	Q9DD18	F1M4J1	Q2KJE5	E2RJ37
P35900	Q96DY5	Q63618	F1N0D5	Q2KM14
P43026	P70321	D3ZG56	F1MR89	E2RKZ9
Q13705	Q80XC6	P01134	F1MR62	E2RSP3
O60779	A0A087WSK7	-	-	-
Q96KP1	O08911	F1LQ17	Q0VCC5	E2RFT5
Q9UBU9	Q9JLV5	G3V8S5	Q76LV2	F1PR47
O15525	Q9CWQ8	D3ZYF7	F1MGZ5	F1P8G2
Q9HB75	Q9Z2B2	Q02356	F1MW50	F1PHM4
P50552	A6PWY4	Q9Z269	Q0P5K3	E2QXS7
Q13620	Q04207	P28480	A7MBG8	F1P7B0
Q14978	Q3TQ39	A0A0G2K0B4	E1BLZ8	F1PXY4
Q9UQ88	P29452	P38438	E1BKG7	F1PSM6
P68366	Q9Z315	D3ZEI0	F1MRG7	E2RTC5
P0CG48	P63101	F7EUU4	Q3ZCE2	E2R9K4
Q9H0M0	Q8BI22	Q63942	Q32PA5	E2QTG1
P06241	Q8BKJ9	Q6P751	Q24JZ8	J9NV67
Q13111	Q8R146	A0A140TAH3	E1BDU0	F1P658
O60674	A0A0A6YX89	Q5HZY3	Q5E9B7	E2R4G3
Q969Q4	Q6NWV3	A0A0H2UHT8	F2Z4G1	F1PA93
Q99873	Q8BFR5	P31977	Q2TBQ5	E2R4H6
Q9UFF9	Q8K330	F1LZZ3	-	-
P51151	Q6PFD6	-	-	-
Q9H6L2	Q8BH47	D3Z9K5	A4IFM4	J9NS78
Q16795	P70347	F1LN84	E1B714	F1PVM9
Q9Y4W6	F8VQC7	Q6AXV0	A4IFU3	F1PFB8
P39023	P62852	-	-	-
P62750	P68369	M0R907	F1MPU0	F6XIK8
O43193	Q9JKE5	Q4V8B8	F1MD84	F1PDW6
P12872	A0A0R4J0W4	B2RZ84	Q29S10	F1PTR9
Q16643	Q3TWW8	F1LRI5	F1N7H1	E2RQR0
Q9ULV0	Q925G2	A0A0G2K2A4	F1MHF0	J9P095
O43815	Q8BSK8	Q9Z2S9	F1N090	E2RSH9
Q13133	Q8BPP5	-	-	-
P30153	P62983	Q9JMJ4	-	-
Q8NDD1	Q8BWQ6	-	-	-
P42345	Q9Z2I9	Q5U300	A6QLD6	E2QX24
Q6IAA8	A0A0R4J0T2	M0RDX6	E1BEL2	E2QX46
Q14669	Q91XC0	D3ZRI0	A4FV52	F1PSK7
Q15562	P12787	Q6MG20	E1BC85	J9P828
O60260	O08537	D4A7D3	G5E577	F6XRY2
P68104	Q01853	D3ZHL1	Q2KJD0	O18840
Q9NV56	P23927	D4A030	F1N0H3	F1PWY2
Q5S007	Q9WVS6	P31016	-	-
Q9P209	Q9JLV9	E9PSU1	F1N401	F1PFZ8
P53621	Q08943	P07150	Q0VCX5	J9NSG1
Q02978	Q9WUP7	P18395	F1MBL6	F1PEI2
P67870	P67778	D4A962	E1B7W1	J9NYU4
P62241	Q76MZ3	A0A0G2K5E6	Q0IIK5	F1PIC7
Q92665	P58871	Q924U5	G3X755	F1PKN8
A0A087WY75	Q8BZP8	D3ZRI4	F1MSB6	E2RG18
Q504Q3	Q9QXS1	A0A0G2KA75	Q3T0G8	E2RL81
Q16539	Q60I23	-	-	-
Q99956	A2ADB0	G3V8Y8	F1N0Z0	F1PPI5
Q15042	Q9DBT9	F1LPK2	F1MFS6	F1PLQ5
Q9BSV6	Q9ES03	Q02294	F1MSZ6	E2QZQ9
Q5BVD1	E9QN92	D4A2L1	F1N360	F1PBZ9
O96017	Q8R035	Q05096	E1BM48	F1PF02
Q92985	Q505D1	D4A8H3	P48452	E2RN73
Q13523	Q9JKY0	D3ZWX4	F1MRW5	E2RFZ0
Q9UJV9	Q6PDI5	B2RYU7	Q9BGI3	E2R2V0
Q08170	Q8R0L9	P13668	E1BF14	F1PDZ9
Q9H307	Q4VA93	B5DFI5	F1MC31	F6XFY9
Q15022	P47911	Q6XVN8	F1MNA5	F1PLK9
Q92597	Q80X90	Q6AXS5	F1N556	E2RMB9
Q8WYC7	F8VPT3	Q9JLT0	G3X7T8	E2R4P4
Q8WYE2	Q9QY30	Q63633	P47803	E2RKK4
P09622	Q8CIE6	P60522	E1B8E7	E2RQP7
Q14974	P00520	M0R7Q5	Q08DN4	F1PX75
Q92832	Q91VC4	D3ZED8	G3MWR7	E2QRS1
Q8IYB0	O35738	Q63548	F1MKU3	E2RE12
O43633	Q91YM2	A0A0G2JTB5	E1BAS8	F6UM65
P51148	P62331	B2RYP8	Q3ZBS7	J9NUL5
Q9UKV3	Q8R0B5	D4AA75	E1B8Q4	F1PYI3
Q9Y383	P84089	D3ZTY9	F1MAW0	J9P2H4
Q10570	P62814	Q91V33	Q3MHL4	E2RRT4
Q16514	Q8CJF8	-	-	-
P09651	B2RWS6	A0A0G2JVC1	A7MBJ5	J9P891
P49406	P81270	D4ADE5	Q3SZA0	E2RKB8
P17181	Q9JJR5	-	-	-
P38484	Q3U2X6	D4A3W7	F1MLD6	E2RK05
Q00535	P61290	F1LSL2	Q3ZCM0	F1PXQ7
O94915	Q9WTL4	P15127	Q3SX30	J9P6H0
P62136	P52927	A0A0G2K2I0	E1BDM8	E2RB53
O60341	Z4YL78	Q6IRJ7	A0JND0	E2R431
P80217	Q8CFV4	A0A0G2JUK6	G3MYX5	J9JHT4
P82912	Q91V89	-	-	-
Q92905	O55222	P27704	E1BNH9	J9NXM2
P07711	Q8K0L9	G3V6G1	E1BPY3	J9NYW5
P15692	Q8VBY2	Q7M767	E1BP64	E2R4Y8
Q13153	O55201	Q63827	F1N052	E2R5P9
Q96M02	E9Q0T8	-	-	-
Q9H4E5	Q8BJU9	A0A0G2JUJ2	F1MKH8	E2RJT2
Q5VZM2	Q9DBP0	D3ZWI8	F1MLY3	E2RKP3
Q9NQL2	F6VUT6	Q5U2P5	G3X686	F1PM06
Q15027	Q8BI72	Q5VJS5	A4IFD2	J9JHI1
Q9Y239	Q8QZR5	D4A670	Q2KI50	E2RQ22
O14981	Q9R053	-	-	-
P53602	Q9Z2W0	Q6IN37	Q2KHU3	J9PA85
O75694	P32067	D4A720	F1N049	E2RBD1
A5PL33	Q8C1B2	G3V7M3	Q02378	E2QWD5
O96008	E9PXB7	G3V7Z1	Q0P564	F1P971
P20933	Q8CB76	G3V6Y0	Q2KIQ5	F1PMG8
Q9BTL3	G5E8K6	D4A619	F1N0T4	F1Q215
P17252	P26039	A0A096MKC0	F1MJX4	E2R9J8
Q16760	Q61764	B1WC84	E1BJW6	J9P7S3
P04150	Q6PDQ2	P39052	-	-
P84022	P60766	G3V6P2	F1MIC9	F1PXT8
P49427	Q921J4	D4A8H1	F1MQ07	E2R591
P08047	Q7TMM9	A0A0G2K4U6	F1MLS5	J9P539
P14635	Q07113	G3V7U4	P50397	E2RGG6
Q9BR76	P61969	F8WFG9	A5PKK1	F1PAQ2
Q86YZ3	Q8CIK8	D4A6Q6	G3N3U9	F1P630
Q8TAP6	E9QM77	B2RZD4	F1MX09	J9NY36
Q14137	Q9Z1S5	P54690	E1BN09	F1P7N4
Q14258	P62259	P62260	P62261	F1P603
Q9Y6I3	Q61024	Q32Q06	F1N0D3	F1PEM6
O75324	Q8VCU1	F1M790	F6RUR3	F1Q0B8
Q86UE4	Q7TND5	F1M7Q7	-	-
Q15582	Q7TQI8	D4A1A1	E1BCH9	F1PLF6
P35658	Q99JZ7	F1LU97	E1BBJ2	E2RDL4
P62826	Q9D903	Q6AYJ7	G3MXV0	F1PQ32
Q12948	Q9CQK1	D3Z863	G3MYY6	E2RCF1
Q86U70	Q60809	P34901	Q1RMP0	J9P0P7
Q12905	G3X914	F2Z3T9	E1BBY7	D0VWQ3
Q9NZJ5	E9QL04	F7FFS7	G3MZC4	J9NWL0
Q8TAF3	Q8VDS4	-	-	-
Q9Y6N9	P00375	F1M792	E1B8I6	F1PN30
O60939	Q8K2I2	D3ZDX7	-	-
Q12769	Q8BTI7	F1M753	F1N2U1	E2QWI8
P05412	Q3UFB7	D4A9N5	F1MC14	F6XBZ5
Q9NV79	Q7TSQ8	Q2THW7	G3X6X1	-
P63244	Q62432	G3V8T4	Q5BIN5	F1PCD0
Q8WUM0	Q9QWV4	D3ZHW0	F1MU43	E2QV08
P08588	A0A0G2JGM8	D3ZEX7	Q29RN8	E2R4N9
Q86UL8	Q5QD17	A0A096MIY0	-	-
Q13084	Q80X95	D4ABK1	F1MYF8	E2QTN7
P49755	Q2HXL6	A0A0G2K8R7	Q7YRD0	F1PG65
O14576	Q80UP5	-	-	-
Q96NL0	Q61180	D3ZLK1	Q3MHM0	E2RLR4
Q13268	Q61470	Q5BK30	F1MID1	F6XF95
P46379	Q60676	Q63746	Q3T0F4	E2R9E3
P46779	Q8CJG1	B4F7C2	F6QYV9	J9PAB2
Q02878	A0A0R4J187	P35213	Q1RMS5	E2QW70
P10827	P17433	M0RAR7	A5PKF6	J9NT37
P61201	Q80TE0	-	-	-
Q01826	P61372	Q4KLL7	A6QPZ3	E2RQL4
Q5I6Y5	Q8K4I3	F1LQ73	E1BK14	E2R4Q9
P49585	Q07235	P51556	F1N3J7	E2RLR0
Q15084	O35326	B4F778	Q24JZ9	J9PAW7
O95817	A0A0R4J0T0	Q6RUV5	Q3SYZ9	E2QVF3
P23258	D3Z3N4	Q6IRE4	E1BDU8	E2RJA0
P05423	P70268	D3ZVF3	-	-
P19388	Q61792	A0A0H2UHI2	P79101	E2R2C3
Q15691	Q9WVG6	P70501	Q3ZBU5	E2RQE3
Q9NP97	Q8BTG6	-	-	-
Q8WWY3	Q9Z1E3	Q63355	F1N1S2	E2QYG6
Q9NX46	Q6P4T0	F7F6T0	E1BGJ4	J9NSU0
Q3MIS6	P51557	D4ABB3	F1N440	B6F0U1
Q92956	Q8BUV6	Q76FN2	-	-
Q9Y3U8	Q60865	F1LST4	Q5E966	F6UYJ9
Q15041	Q9ET54	D3ZK56	Q2KID6	E2RSE8
Q9BQ24	Q9CZT8	D3ZMF7	Q0P5B3	-
Q0D2H9	Q61451	Q5XI57	-	-
Q6UY14	Q9EPB4	-	-	-
Q96Q45	B1AUR6	-	-	-
P60033	O08579	D3ZA49	Q3T199	E2RQ08
Q9NY65	Q9D4P0	A1L132	E1B7U9	F1PJW5
O60573	Q9CZW5	P62489	F1N551	E2R6E5
P26639	P63073	A0A0G2JXD5	A0JNH5	F1PDT7
Q92613	Q9JLB0	D3ZUW8	F1MLP7	J9P113
P49815	Q9Z1K6	Q5XI78	A7MBD4	J9JHD9
P67775	Q64010	D4A6J0	P17870	F1PWG8
P34932	D3YYU8	G3V717	E1B9Q4	E2RM09
Q9Y5A7	Q5SUR0	F1M853	Q32PH9	E2R5Y6
O00750	Q9CYC6	A0A0G2KAW2	A1A4Q8	E2RFP6
O60506	Q9ERK0	F1LM64	E1BEG2	E2RP71
Q9NVH2	Q8CHR6	F7DLY1	A4IFH7	J9NVZ9
Q5T481	Q3UHI4	F1LR04	F1MMH1	E2RJ65
Q9BPU9	Q8R0Z5	P63076	F1MN90	F1P8Q7
P06576	P35550	Q5U2U2	E1B9H3	E2RM49
Q9H0W5	Q02248	P46462	G3N0Q3	F1PAR0
Q15428	Q8BJ03	A0A0G2JWD2	F1MHL1	J9NS71
P35408	P15626	Q08851	Q29RL0	F1PAN3
Q5VTB9	A0A0R4J0P6	Q02769	E1BLD0	F1PXU4
P24941	Q3TE40	Q4KLY4	Q1JQE0	E2RCF7
Q9GZV4	Q91ZJ0	-	-	-
