B7NZM8	A0A286XBQ9	W5PAQ3	M3WE16	F7BJQ7	F1P6I3	A0A287APW0	P67939	P19139	P97855	P07306
G1SH27	A0A286Y2B0	W5PP15	M3VX29	F6X9N5	E2QXE5	F1RHK0	E1BBM0	D3ZQG0	Q5ND52	Q92753
G1U5G6	H0VQK5	W5PEL4	M3WQD6	F6XF35	E2RHU6	A0A287BHK4	Q2HJC0	Q6PDU2	Q99KS2	Q8NF12
G1TSH4	H0VLN2	W5Q8R1	M3WFJ8	F6V2R6	F1P835	F1RLE6	Q3ZBJ6	A0A0G2JTB7	Q920F6	Q96AX9
G1T0P6	A0A286XZ14	W5PMR7	M3VXG5	F6Z1U4	F1P9I9	F1SM61	Q08DR7	A0A0G2JZ38	Q62165	P16219
G1TRM8	H0UUK9	W5PYH5	M3WCW2	F7DLC0	F1Q307	A0A287BI99	F1MP34	Q925D4	A0A0R4J0I2	Q8NFA2
G1SMM8	H0V7U1	W5PZ64	A0A2I2U075	F6QSN9	E2RA90	A0A287BGZ7	E1BPT6	D3Z9K2	Q8BWL5	P19440
G1THZ1	H0VB68	W5PTP9	M3W0C0	F7C6F2	F1PGT1	F1SNT8	F1MNS7	B5DFN1	Q62406	P60520
G1TF51	A0A286XR17	W5NQQ8	M3XFD2	F7AB37	F1P7Q7	A0A287AJN7	F1N0Z1	B0BNB9	P55302	Q96EV8
B7NZJ4	H0V5S8	W5PJ35	M3X1C4	F6TXL9	F6XTC9	A0MTC9	P58351	F1LZZ6	Q5RI75	Q9BT88
G1TAP1	H0V759	W5QBG6	M3WSR8	F6R8H3	F1P8L7	A0A286ZRN9	E1BJV5	Q66HT2	A0A140T8I9	P46100
G1SXR8	A0A286XD36	W5PL67	A0A2I2U4L2	F6W450	E2R514	F1RK61	Q2HJG1	E9PT11	Q6ZWQ9	Q8IWL1
G1TKT4	A0A286XMJ0	W5P407	M3W3J7	F6TCC1	E2R6I2	F1SJP9	A5PKH5	B5DF80	Q8CFL8	Q6NUK1
G1T3D4	A0A286XRN7	W5PJL8	A0A2I2UH13	F6PLP5	E2R025	I3LUY9	E1BG77	Q6QZQ4	G3UW82	O60613
G1T769	H0W449	W5P5Z8	M3WAF9	F6QLW9	J9P663	F1RYH9	E1BIU5	Q810F5	Q9Z0U9	P03901
G1SG37	H0UXQ4	W5PZW0	M3X7T1	F6ZK84	J9P5D5	F1SV78	G3N1L5	B5DF60	Q8BH75	Q99418
G1SYI9	A0A286XWQ5	W5P554	M3WE50	F6PU69	J9NSU0	A0A287A6K3	E1B8J7	A0A0G2KAE3	Q922B6	A6NGC4
G1SWJ7	H0W2R6	W5PZG3	M3W7F7	F7BS69	F1P9B1	I3LC84	E1BM99	B6RGM2	Q923B6	Q8N9V3
G1SDQ5	H0V0C2	W5PIK2	A0A2I2U8Q3	F6VIR0	F1PRN4	F1RGN4	Q7YRQ5	Q5RKG1	Q9JLQ2	P05388
G1T7V6	A0A286X8E5	W5PQV7	M3WN65	F6QE38	E2RRR2	F1RY10	A5PJC5	A0A0G2JUT8	H3BKQ3	Q01628
G1TDA6	A0A286X7D5	W5PYE5	M3WXT4	F6XW64	E2RGF7	F1SUR6	E1BND2	M0R711	P56695	Q9NXH9
G1TC64	A0A286Y3A7	W5NZ91	M3WEN4	F7D150	F1PBB7	A0A0M3KL55	P82669	Q7TQ82	G5E8U5	P06734
G1T4B2	A0A286XFF8	W5NUU1	M3WDE0	F6W4K5	E2RA36	F1RQL2	Q17QI0	D4A1W1	Q9Z1N2	Q8TCU5
G1TD86	H0VIH1	W5Q098	M3XCJ7	F6TT60	J9NSF5	F1RJQ1	F1N4C1	D3ZER1	Q8BJA3	Q9NVG8
G1U7D9	H0UTH3	W5NS63	M3VYX8	F7AIV5	F1PA70	F1RKC3	F1MF98	D3ZHV7	D3Z2Z3	O95639
G1SRP8	H0WA18	W5Q5K0	M3VUE2	F6TTS7	F1PWR0	F1S2T7	Q2KHY1	A0A096MIS7	Q8BHW4	Q9H7B2
G1U652	H0VE30	W5PW58	M3XCB3	F6ZND0	E2REA3	A0A0M3KL54	P82917	D4A4V1	Q9D2R8	Q8NB16
G1TXP2	H0VWV1	W5QJ03	M3WCF9	F6SGS9	E2RMT1	A0A287A025	E1BMT9	Q6MG51	A0A1B0GRM2	Q8TDB6
G1TL16	A0A286Y3Z7	W5PP46	A0A2I2U7B0	F7BPB8	F1PZH8	A0A286ZYY0	F1MZ84	Q4V8G8	Q45KJ6	Q96BV0
G1SQI1	A0A286XM62	W5PWM1	A0A2I2UKP5	F6V4S1	J9NUF6	I3L7Q5	F1MPD4	D3ZSK9	O88745	O15551
G1TYY4	H0V0S2	W5PET7	M3WCH0	F6RUJ8	F1PNA1	I3LE14	Q2KJG8	D4A915	F8VPN2	Q8N443
G1SLE6	A0A286XIL0	W5Q2N7	M3W3W9	F7BZ33	E2RGS6	F1S759	G8JKW9	D3ZE72	Q9JI38	Q86VX9
G1T4S9	A0A286X876	W5NZP8	M3WP28	F6WWE3	J9NVI7	I3LLX4	E1BP72	Q04589	E9PUD6	Q8N339
G1SYS9	H0UUG8	W5QHI3	A0A2I2U4S7	F6QGR4	E2RNK8	F1SV60	Q2HJF1	D4ABL7	Q9CQP0	P51397
G1SKG7	A0A286XXR3	W5QDM6	M3WYY9	F6UQS3	F1PIA0	I3LCE2	Q5EA45	Q5XI98	B7ZMP1	Q8NHS3
G1SS63	H0VYU5	W5NRJ5	M3W5X1	F7CPA8	F1PLR6	A0A287AD03	F1N4T3	Q63118	P35283	Q8NEU8
G1SS80	H0V2K9	W5NWC7	M3W4T0	F7CGF5	J9P7N4	A0A287BEZ5	A7YWF1	G3V9U0	Q9QXG4	P20248
U3KPC3	H0VWH3	W5NW56	M3WNL6	F6QU77	F1PLX7	F1S3M5	F1MDT4	O88846	P50571	Q12792
G1T9C9	H0VKQ1	W5Q0P6	M3VYV6	F7BH56	F6V471	I3LFP9	F1MGF9	D3ZB76	A0A0A6YY83	Q14929
G1SWV6	A0A286XYB5	W5PQQ3	M3XDN7	F7CLY9	E2RS35	F1RWG3	F1MKC8	E9PU57	Q8BWQ1	P98155
U3KLV4	H0V6R0	W5PCZ7	M3WHS2	F7DCC9	F1PAG9	F1S0R8	A6QLU1	A0A0G2K5H7	O70152	Q9H788
G1SDR7	H0W2J1	W5PCD2	A0A2I2V5D9	F6XWY5	E2RKE5	A0A287AEW3	P82915	D4A7X1	Q9CPX7	Q9UM47
G1TAQ9	H0V576	W5P8Q4	M3W8G5	F7E0W2	F1PJL8	F1RT87	F1MLV3	A0A0H2UI10	Q7TMI3	A2VCT2
G1SD08	H0V1I6	W5NU41	M3X8H3	F6UAR7	F1P6V6	I3LNB0	G3MZP6	D3ZVC4	Q9WUB4	Q8N612
G1SYW4	H0VEP9	W5QDR2	M3W680	H9GZM3	F1PPG1	I3LRC4	P0C2B7	Q4G067	Q9D0Y8	Q8NI28
G1SPX4	Q64077	W5P7V1	M3W3J0	F7BNU0	E2RKC5	F1RQT1	Q0P5I9	Q9QY10	Q8K303	P62332
G1SP08	H0VCJ4	W5PFX5	M3WME9	F6Q285	F1PKW0	Q8MJ76	Q148D4	A0A0H2UHA4	D4QGC2	Q0VF96
G1SNZ8	H0WDU6	W5PYB9	A0A2I2UPH2	F7D7X4	E2RPH8	A0A287BDN7	Q2PC20	D3ZDJ6	E9QNR6	Q9UKJ0
G1SNJ3	H0V979	W5P7J2	M3X1Q6	F6SF25	E2RN29	A0A287B4E4	Q32KU9	A0A0G2JW29	Q3TKK3	Q8WY98
G1T8Z6	A0A286XXV9	W5Q499	A0A2I2U5N4	F7A9B0	E2RHA8	A0A287AVJ0	E1BB02	D4ABT8	Q5SW19	Q71V34
G1T6Z4	H0VG26	W5Q713	M3X725	F6PIQ6	F1P651	F1RUD4	P42891	D4A7A8	Q80TC6	Q9ULV4
G1U522	A0A286Y178	W5NTT7	M3X5W5	F6WFW1	E2RSF2	F1SI07	P02548	G3V9Z6	Q8CB62	Q15005
G1U537	H0W0R3	W5PYX9	M3WUS3	H9H025	E2RKQ8	F1RL72	F1MCF6	D3ZV37	Q91V81	P48681
G1T784	H0VPD7	W5P474	M3X5W3	F7C6A2	J9NU86	A0A287AYT0	A7MBF1	G3V8M6	Q8C581	B4DX78
G1TDN9	A0A286XHY2	W5PKS3	M3WM71	F6PMA7	F1PWF8	I3LK97	F1N0D2	D3ZHX4	A0A0R4J1L9	Q9Y6P5
G1T3V1	H0UT56	W5PMS8	M3XA75	F6URT5	E2R5D9	A0A287AQK8	A7E330	P60713	Q3TTI8	Q6ZSZ6
G1SL20	H0UZC4	W5PP72	M3WJZ4	F6PT71	E2RK46	I3LL60	F1MC55	O55227	A0A0R4IZY9	Q8TCX1
G1T8J6	A0A286Y0P9	W5QI36	M3X575	F7DBA2	J9NYG9	A0A287AVS5	P15101	G3V6X3	Q8BZN6	O94766
G1TKD7	H0VI55	W5NZ42	A0A2I2UXX6	F6Q0Y5	E2RIH2	F1SQ73	Q2KIH8	A0A0G2K0J5	Q9Z2F2	Q86YL1
G1T1G7	A0A286XZ08	W5QHZ4	M3W7G9	F7BFH6	E2QXA3	I3LMG8	Q2KIR5	Q68FX9	O08856	P01241
G1T3W4	A0A286Y4I3	W5PKL9	M3X4E7	F6QEI2	E2RL41	F1SBS0	Q28852	Q6YFQ1	Q8BXJ8	Q8IW00
G1T616	H0VBL1	W5P7G3	M3W9S6	F6T784	E2R0Q8	I3LIX0	P08760	Q712U5	Q03740	Q9HA90
G1U5Y5	H0VLA9	W5PJA9	M3W4G4	F7CBX0	A0A1W2NCW3	A0A286ZU41	Q2KI72	D3ZIX4	E9PWA9	P10826
G1TTT0	A0A286Y3U8	W5NS89	M3W088	F7DHS7	J9P2P5	F1SPN8	P98107	Q9QZQ4	Q6PG95	Q92844
G1SU71	H0UXX2	W5PRN5	M3XB75	F6YXE5	F1PWE0	F1SA17	A6QLU3	D3ZVF2	Q9WTZ9	Q9NWX5
G1SNL6	H0V7J0	W5P604	M3WWM5	F6RIP2	F1PFZ5	F1RKQ4	Q2TBH5	F7FD47	O55128	Q8N1K5
G1SLB7	H0V4T3	W5NUX7	A0A2I2UXQ5	F6TM26	F6UZ16	F1SDM2	G3MWZ3	P56558	Q9EQF5	O14607
G1U2S5	H0VB22	W5P510	A0A2I2U0G1	F6QR61	F1PX33	F1RN07	F1MUX8	Q8VIP3	F6VYM1	Q13258
G1SRB4	H0VK69	W5NYE3	M3W482	F6U500	F1PS30	F1SV33	F1MKF8	D4A208	E9Q6Y4	O95059
G1TL29	H0W5N6	W5PGC2	A0A2I2UEY8	A5YBN0	J9PAS9	F2Z562	Q3T051	B4F7A7	Q8CEE0	Q8WXC3
G1TBS3	H0UTR9	W5P341	M3W4K2	F7D335	F1Q381	I3LS88	G3N2Y1	G3V8M8	P14483	Q9Y485
G1T5G8	H0W3C9	W5NQ71	M3VUK3	F6ZBU0	E2RJK0	A0A287AY77	F1MTR1	Q68FS3	Q91WD1	Q15417
G1SIT8	H0W4Q1	W5PNJ0	M3X3Q5	F7CXG8	J9NWI2	F1SSQ4	Q5E9U3	G3V7A3	Q99ML0	P18583
G1SHU2	A0A286XRV1	W5NW34	M3W204	F6XHQ3	E2RBC8	A5GFP7	A4FUH1	P62738	Q8BWU8	Q9P2E3
G1U0R4	A0A286X9B7	W5PM54	M3WBR9	F7BVX6	E2R4Z8	F1RMJ5	A6QLI2	Q695P6	Q9CPW0	Q7Z6Z6
B7NZM0	A0A286XYL5	W5PES5	M3XEP5	F6Q486	E2R4F7	I3LUX5	A7MBK0	G3V649	V9GXH0	P62324
G1TBS1	H0VPZ2	W5PXJ0	M3VTZ6	F7AE75	F6X571	K7GSL3	E1BMR3	A0A0G2JSH9	Q3TCH7	Q9BW60
G1T9V9	A0A286XJN2	W5PP30	A0A2I2U6F9	F6UEQ7	E2RPS2	K4P7U5	F1MSV1	A0A0G2K6K7	Q9DB25	P35222
G1T0R3	A0A286XB74	W5NTK8	M3W0I8	F7DWR8	F1P7X0	A0A287ALD8	F1MJ26	P63083	F6XJP7	Q9Y4K0
G1SU38	A0A286XZQ6	W5PJF2	M3W268	F6RQG1	E2R375	A0A287AR05	Q2KIZ3	P51652	Q8BHN0	Q9Y226
G1SD31	A0A286Y571	W5NUR3	A0A2I2U4S0	F6X137	J9P5J1	A0A287B0B5	F1MY07	D3ZGQ2	Q8BN51	Q86U28
G1SPM8	A0A286XTS9	W5QFB3	A0A2I2UCM8	F6ZW31	F1PBH3	F1SDJ0	F1N7R4	F1M1Y0	Q80Z38	Q02221
G1TLU7	A0A286XNJ2	O62816	A0A2I2UY02	F6V6X5	J9P7P9	I3L5U8	F1N1Y2	D3ZA36	Q80YA8	Q6GTS8
G1TAX8	H0W201	W5PSQ8	M3WJU4	F7B3Y3	F6XNW6	A0A287AE35	A6QPJ9	D3ZXS4	Q9QYM9	O94907
G1SG61	H0VYC5	W5PX80	A0A2I2V3J3	F6S3Y7	F1PGR7	I3LBI5	F1MEI9	P0C0S7	Q9D3H0	Q13503
G1T8X6	A0A286Y1N4	W5Q8B4	A0A2I2UPQ0	F7CER7	E2RMK2	I3LNU5	G5E6S3	F1M6N0	Q80W31	A6NHQ4
G1U8X9	H0VZL1	W5P0Q9	M3WQV0	F6PXL3	J9P1A9	F1RZG5	A6QQN6	D4A3R0	P97503	Q9BUF5
G1STQ2	H0W0W7	W5P610	M3X192	F6UXK2	F6XVD7	K7GLN4	Q5E9D3	P49088	Q91VJ4	Q9H6G9
G1SKI8	H0UU73	W5P285	A0A2I2UVS7	F6PH15	E2R7M4	A0A286ZU72	F1MF02	P70541	Q922R0	Q5RGS3
G1SXM6	H0W3G2	W5PES2	M3WCM8	F6RAN5	F6UQ63	I3LL77	E1BHP7	Q32KJ9	Q99LI8	Q9H4K7
G1SIQ9	H0VD76	W5Q8N9	M3WZJ9	F6YTI9	E2RNA4	F1SHE8	Q0VC24	P61480	Q91VY9	P56750
G1SZG2	H0UUD0	W5PBX7	M3WPQ3	F6RC42	F1PYU7	A0A287B104	F1N4U8	F1LN59	Q9CQQ7	O75306
G1SLF7	H0V0Z7	W5PRD1	M3WQZ6	F6RJ14	E2RL82	F1RY61	Q1LZE3	Q6P6Q6	Q8BYL4	A8K146
G1SZ91	H0UVL0	W5PP57	M3VVW4	F7B5A3	E2RCF9	A0A287AAM0	F1MQH3	D4AED1	P97465	Q6ZNL6
G1SUZ8	H0VDZ6	W5PCH4	M3WH19	F7B1M1	E2QYR1	F1S5R1	A6QPE1	D3ZN30	Q3V3V9	A0A1C7CYX3
G1SYH9	A0A286Y1J2	W5QAF9	M3WP85	F6RBQ4	E2RJK9	A0A286ZVH1	G3X7Z6	A0A1W2Q6E1	A2ARK7	Q5JPH6
G1U0U4	H0UY47	W5PSG4	A0A2I2UXN3	F6S769	J9P0D7	A0A286ZL23	F1N2B3	A0A096MKD7	Q8BHZ4	Q14493
G1T689	P00713	W5NSD4	M3WVD3	F6XJ00	J9NYI0	D4NZI4	E1BDN1	P32215	Q80TL1	Q6RVD6
G1SDT0	H0VDW9	W5NRG3	A0A2I2V399	F6WUU8	E2R2L6	F2Z5G3	Q3MHP2	D3ZPW6	Q9CQ33	P0CG48
G1T2J4	H0VAM0	W5PWC9	M3WC08	F7CG11	F1PHG5	F1S047	A7MB40	F1M6K4	Q0VBV7	Q9Y4G6
G1SVL9	H0UZL7	W5QG54	M3WFI6	F6YCC0	E2RST7	F1SRP9	Q2KJ54	D4A7W7	Q9CTY5	Q9BVK2
G1U7M7	H0V4R9	W5PSQ2	M3WWH3	F6PIK9	F1Q2H0	F1SNC1	F1MNF0	B1WBV7	Q9R109	Q92882
G1TBF5	H0WBK6	W5NYL0	M3WZ05	F7CHW9	F6XVM7	F1RL94	F1MUJ6	P80431	Q9CQH3	P49863
G1TK91	H0VEN3	W5PGS6	A0A2I2UFD8	F6UZY6	J9NZP2	F2Z5B1	E1BKN0	D4A411	Q3TJB1	Q9UMR3
G1U7X2	B5ABI3	W5P7B4	M3W966	F6WKM3	E2R052	A0A286ZM09	Q27966	B5DF98	Q9Z172	Q96PU5
G1TES8	H0VJZ3	W5Q0I1	A0A2I2V1I9	F7A134	F1P6J7	F1SDR4	Q5BIP7	Q4FZS9	Q9CYP7	Q9BXX0
G1TM63	H0VRI5	W5P5P2	M3WRH8	F7AS02	E2RHR1	A0A287BQ89	F1MU80	Q9JJ05	O88273	P13349
G1SS47	H0UUP9	W5P4U8	M3WLG8	F6PUU2	J9NXG3	F1S735	P13696	B1WBZ7	A2A8R0	P30499
G1SHX7	H0WDY9	B2MVW7	M3W6K3	F6T037	F6UUF8	A0A287AL11	P17667	Q6AYF6	Q80WQ8	Q8NCR3
G1SI85	H0WBD5	W5QAL0	M3W5Y5	F7CJK7	J9NVT2	I3LG77	F1MFJ6	D3ZBN0	Q7TSI3	Q6PIK1
G1SV26	H0VMI2	W5P6L1	M3W4X9	F6XUT5	F1PEX4	I3LNT6	G3MY39	Q62968	Q6PCZ4	P09110
G1SVZ5	H0VGX5	W5PR61	M3X9Y7	F7CFU9	F1PAR1	F1RNQ2	G3MX43	G3V6M2	Q9CQQ0	Q9H669
G1SE06	H0VA49	W5PN21	M3WLA8	F7AK17	E2QZY6	A0A287AQW3	E1B7S7	P56499	Q9CZ69	Q96SZ5
G1SJR1	A0A286Y3Q8	W5QCL1	M3WPR7	F6YDC3	E2RQ62	F1RSR6	G1K122	O70276	Q9JK24	Q08947
G1U0V9	A0A286Y1P9	W5QAP5	A0A2I2UBI0	F7B215	E2R465	Q863I2	Q1JPC8	E9PTT0	Q9R1P3	P35226
G1TDV8	H0VJQ0	W5PCH3	M3W6K5	F7AZ44	F1PLZ1	A5GFR9	G3N3Q9	Q7TNZ5	B9EKE5	Q14315
G1TWI4	A0A286XUM7	W5P9Q6	M3WWI2	F6WU73	J9P3K3	F1RID6	E1BLB7	F1M369	Q19A41	Q8IYK2
G1SRG8	A0A286X9E2	W5PU67	M3W2Q8	F6V8M8	F1PUF3	F1RXC6	F1MJJ2	P11915	Q9ER38	O15417
G1TBT1	A0A286XU61	W5PM06	A0A2I2V083	F7E2V7	F1P930	A0A287B5I7	F1N1K9	D3ZE75	A2A791	P49771
G1ST55	H0W9Z7	W5P2H1	M3W9N0	F6Z0R7	F1PC83	I3LQQ0	E1BGH8	Q9Z1I1	A0A087WPF7	Q9HDC9
G1SI76	A0A286XW56	W5Q3C8	M3WN32	F7CFH4	E2RN98	F1S8U4	F1N148	D3ZXF8	Q5RL20	Q96ER9
G1SPW5	H0W6F5	W5PGS2	A0A2I2UPR8	F6WNG5	E2RPN5	F1RWD3	F1MZ38	Q66H73	B7ZC94	P78334
G1SWE6	A0A286XL95	W5P5A5	M3WKX8	F6ZD18	E2QYW3	Q6YBV4	E1BLL9	O70127	P06343	O15327
G1TAK1	A0A286XU97	W5Q916	A0A2I2U3H1	F7BAX0	F1PHL7	F1ST61	F1MS56	D3ZTF1	P08553	Q1RLL8
G1TJE9	A0A286XFB6	W5Q4Q0	M3X033	F6VBR3	J9P1P2	F1SL30	Q29RH6	P0C0K7	Q923W9	P36897
G1TMR5	A0A286XML9	W5P6M8	A0A2I2UPD3	F6T5P9	E2RDA2	A0A287B9Q8	Q17QJ2	Q6IMX4	Q9JJS6	P13796
G1U9Q0	A0A286XIG6	W5PSX6	M3W5F0	F7CC90	J9P4F2	A0A286ZTW9	G3N3V4	Q66HE8	Q8R1J3	Q6P4F7
G1SLC5	H0V1E7	O78750	M3W1W3	F6Z4L0	J9NZQ1	A0A287BLG4	Q2TBS9	P04182	Q8JZQ2	O95881
G1T730	H0UTY5	W5NWR9	A0A2I2UEG5	F7C379	E2R1T1	K7GS61	E1BNT4	F1M649	F7A0H7	Q8IZQ8
G1T391	H0UTI1	W5Q0I0	A0A2I2UY94	F6PWQ8	J9P4N4	F1SFJ4	Q32PD7	A0A0G2K9K0	Q9CQH7	P16260
G1TAL1	A0A286X9D1	W5PNE9	M3WR70	F6ZWS0	F1PDY8	F1SQR8	E1BB46	P31044	Q9CPP0	Q15428
