IIDdog.gw	IIDcow.gw	IIDrat.gw	IIDmouse.gw	IIDhuman_exp.gw
F1PAI7	F1N619	A0A0G2K6Z8	A0A0R4IZW5	Q9NPD7
E2R835	F1N0G5	Q6P5P5	Q8BGZ4	Q9NXB9
J9NUD4	E1BEN6	Q66HA6	D3Z2R5	Q9Y2D4
F1Q2H9	E1B8E7	P62142	P62192	Q5JPE7
J9P0K9	E1B796	Z4YNI9	Q3UH66	Q92737
F6V0D8	F1MG05	B2RZC6	Q62167	Q8IXF0
E2RB90	F1MUZ9	A0A0G2K2T6	P62281	P43353
F6Y375	A5PK03	Q8K1P9	Q61644	O14556
F1PF03	Q3T0F9	Q4QRB4	P48754	O00635
F1PSZ9	E1BC55	D4A234	Q8BZ36	Q6UWQ7
Q3LSL6	A7E3Q4	Q4V7D7	Q9Z2S7	Q9UBI9
F1PT54	F1MEA3	P29456	Q8C9A2	Q15040
E2R7I7	Q2NL31	Q4FZV3	Q6P9R2	Q9H1C4
J9NYV0	F1MAU4	B2GUU0	O88502	P30559
E2QRU7	Q1RMU2	D3ZMQ3	Q8VDD5	P63267
E2RPW8	Q0IIK5	Q641Y8	O35286	Q6N063
E2QY95	F1MTT7	Q4V8B3	P31257	P27815
E2R6Q2	F6R7X9	Q6P502	Q9CR57	Q96BI3
J9P6F4	E1BPM3	O35814	Q9CQ71	Q15053
J9P6P4	Q3SZF0	D4AA41	Q80XA6	Q9ULV3
E2RQG7	A1XC24	Q9Z0W5	Q3UA37	A2A2V5
E2RMF7	F1MJX9	A0A0U1RS25	Q9JHU4	Q9BZR8
E2QSF4	G5E531	A0A0G2K2I0	Q8CGC7	Q9Y657
E2R4L7	G3MZ18	A0A0G2K5K8	P08228	Q6ZT98
E2RCN3	F1MWR8	Q566E4	Q9WTX6	Q9Y5U2
F1PGB6	F1MC48	Q5XIM9	E9QNN1	Q5VST9
F1P7N8	F1MXG8	C0JPT7	Q07832	P07355
E2QW70	Q9XSB5	D3ZUC2	Q9DCD6	P50336
F1Q2R0	F1N1M0	M0RD53	Q61817	E9PPJ3
E2RQC4	Q32PJ6	A0A0U1RRU5	Q78PY7	Q86VI4
E2R2I4	P81948	Q6MG49	P80315	Q5T8P6
E2QZZ5	F1MWV0	F1LN76	Q3TMP8	Q86TA1
E2RBE8	F1MM73	D3Z8I4	Q9CYH6	Q9UPT5
E2R070	A2VE47	D3ZMI6	Q8JZV4	Q9BRV8
F1PX83	A5PJS6	G3V7T6	Q5XJF6	Q7Z7M0
F1P620	Q0P5N4	A0A0G2JU59	O70456	Q08AG7
F1P8A5	F1MAV3	Q64548	Q80X85	Q9UNS1
E2RNY6	Q3T035	Q3SWT4	Q8BMA6	P05181
E2QWN2	G3MZV1	G3V7B6	P84078	Q9NQZ3
F1Q0S4	F1MYR9	O35823	O88427	O43555
F1PAA9	Q3SZI4	P29534	Q60591	Q9NY99
J9P6R1	F1MXE4	Q6AY58	Q9CWK3	O60662
F1PY65	A6QR65	D4A3V2	Q9EP69	Q8NFW5
E2RN45	Q3SZ11	D4A8A0	P62267	Q7Z511
E2RFW1	Q1RMS5	B2RZ55	P60521	Q09028
F1PWG8	E1BKX7	F1MA31	Q8BK63	Q99424
E2QZ35	G3X7A5	P63039	Q09163	P20813
F1P9J3	P56701	Q4FZT9	P62852	P16444
E2RBY3	F1N0N9	P27008	P62264	P15121
E2RLS3	Q58DA0	A0A0G2K761	P31750	H0Y858
F6XFW5	F1MEL4	P36940	P52482	Q13085
O18840	Q3T0K2	G3V8S2	P62082	Q9NXG0
E2R5A4	A4FUH6	P62083	Q64385	Q96EG1
F1PE20	E1BPU0	Q62844	Q52KC3	Q96KQ7
E2RCH8	Q59A32	G3V798	Q9R0E1	Q0D2I5
F1PFS8	E1BCM8	A2VD15	Q9JJY8	Q495Y8
P63050	F1MEQ3	M0R9Q1	P14206	P61812
Q8SQ72	F1MCL0	D3ZVL5	Q91WS2	O94760
F1PW03	Q32LI5	G3V626	Q8K2P6	P03951
E2QYE1	E1BPE8	G3V9V2	Q99LE6	Q8TBG4
F1PIA2	F1MJX4	F1LRI5	O35326	Q8IXM3
E2RAF7	Q0V8H6	A0A0G2K098	P70196	O14979
E2QVN6	Q3ZBJ1	Q9QYN5	Q91YT0	Q16795
E2REA4	F1MKW9	F1LM64	P62751	Q9ULX9
F1PQ09	A0JN52	G3V790	P68134	Q9H0F6
J9NWJ9	Q1LZB9	B2GUY5	Q8R4L0	B4DJ93
E2QZ69	F1MJB6	D3ZY51	E9PUS2	Q8WXD5
E2RB81	F1N647	A0A0G2K8W9	P27659	O00258
F6Y5R7	Q2HJD0	Q32Q86	Q8K3A9	O94919
F1PVB7	F1MX21	D3ZD80	E0CYT1	O94842
E2R1N5	F1MHF3	A0A0G2QC33	P24529	Q6WBX8
E2R1V2	F1MVI6	Q5XIF6	P47963	Q16515
F1PCU2	G3MYH5	A0A0H2UHG0	Q99N92	O60921
J9P9Z6	Q0VCX4	P46462	Q01853	Q86T23
J9P5Q0	A7YWK8	Q32KK0	Q3UNH3	Q5JSL3
F1PIY1	G3X6Z3	A0A0G2JWP8	P61358	Q9H255
J9NX85	A6H7F8	Q920L2	Q60952	P04275
J9P383	E1BE83	A0A0G2K0D4	O35864	P24941
E2RAU5	F1MMA0	Q07936	Q62318	P07099
J9P8M2	E1BIN5	Q9R0T4	Q3UIL6	Q00613
J9P0W8	A7MB74	D3ZNQ6	Q8CIH5	Q7L2V5
F1Q0I8	Q3SZK0	P47709	E0CX23	Q9Y5X5
J9PAQ3	G3MX47	Q91Z79	P70276	Q7L7W2
F1PRW7	F1MBE0	A0A0G2JY82	A0A0R4J0W0	Q96RF1
F1PL18	G5E690	Q4V8I1	A2A7S8	Q9BV10
E2RGF6	G3MWV5	B2RYU7	Q3UJD6	P21453
E2R412	F1MWM8	M0R5W4	Q9CY21	Q9P273
E2RDC4	Q24JZ8	O70436	P22518	O43524
F1PIQ9	F6QHJ6	A0A0G2JTG7	Q8BTI8	Q2M389
J9P601	F1MGX0	P63088	P68040	Q6AI39
E2RIB8	Q3ZBU5	F1MA98	P24547	Q96RD9
E2RFR8	F1MV64	D3ZKY5	P62500	Q8N511
E2RAT0	E1BJD1	Q3B7V5	Q62018	Q01201
F1Q3Y0	A7Z065	Q6AXS5	Q9Z2U0	Q8NG11
E2R413	A6QLE5	Q6MG20	Q80YQ8	Q9HB14
J9P6N4	Q5E9B1	O54857	Q8VHM5	O95721
E2QXE0	A6QLZ0	A0A0H2UHG3	P46638	Q96JB5
F1PQC0	F1MLY3	Q6MFZ5	P58771	P98187
F1PR63	O18789	P29066	O08586	P13861
F1PYW1	G8JKV5	A0A0G2K700	P14602	O15550
E2R0L9	Q8WN55	P04642	S4R1R7	Q6PJF5
F1PQN3	Q5E9J1	Q6P3V8	Q9CX86	Q7Z6N9
J9NY10	A7MBG9	F1M853	Q921Y0	Q5SZD4
E2QVP6	Q3ZCE2	Q6P751	Q60631	P38398
E2QWF1	E1BF20	O08629	Q91V55	Q8TDW7
J9P2B8	E1B7D3	Q63321	P04214	O75437
F1PB95	Q5EAB2	O35346	Q6NVF9	P10074
J9NZE4	Q865B7	P61621	P20357	Q9ULX6
E2QUK6	Q32L40	Q63563	Q3TEA0	Q8IV76
F1PUU0	A5D989	P06685	Q9Z2X1	Q59GP6
J9P0Q4	E1BDX8	G3V6H2	Q99K48	Q99679
E2RHR7	E1BQ11	Q68FY0	Q61191	Q53R12
F1PSL0	F1N7D7	O88498	A2AQ25	O14753
J9P597	F1MJY2	O08560	Q6NS69	Q6ICR9
F1PUB9	A4IFC3	Q68FR9	Q9CR52	P21860
E2RNU4	F1MK30	A0A182DWI7	Q8VDM6	Q9NVV5
E2R8D0	F1N120	Q1WIM3	Q8VC04	Q86YF9
J9NWL1	G3MX90	G3V913	P52927	P58511
J9P5I6	P60661	B5DF98	Q01320	Q8IZ73
J9PAR1	E1BCW3	D3ZAZ0	Q9CWF2	Q8WYE6
J9P095	E1BLQ9	Q5HZE3	D3YZU1	O00244
F1P7S9	Q5BIN2	Q6TQE1	A0A087WSP5	Q63HN8
F1PG59	E1BJB4	P29067	P10126	A1A4Y4
F1P8F7	F1MK54	P34067	P00015	Q5BKU8
J9P393	E1BNH9	D3ZZ80	P22682	Q9Y275
E2QYC2	A0A140T862	A0A0G2JXT8	Q80X50	Q96S53
L7N0I7	Q5E947	Q6P3V9	Q8BK64	Q9UGH3
F1P7Z4	G5E635	O35413	Q924N4	O15061
E2RRT5	A5D7P0	D4A3E3	Q7TMB8	Q5K651
E2RPS3	F1MD34	F1LQI5	Q9Z110	P35368
F1Q2M3	G5E631	Q6AZ64	P27641	P18084
E2RSD8	F1N7C7	A0A0G2JW18	Q9QYY0	Q7Z429
F1PKS2	E1BPR4	D3ZPX0	P48453	A0A0S2Z442
E2QY24	Q3T0G1	P17955	P97370	Q6PEV8
F1PLJ9	Q3T147	P24368	P39054	Q9NRF2
E2QY31	Q1RMW9	P04166	Q9Z2X8	Q8TEM1
J9P5S1	F1MBU3	F1LXB2	Q99LJ7	P51522
E2R792	Q0VCD2	F1M7J7	B1AUF1	Q6UXK5
F6UMF1	A4FUX6	E9PU78	H3BJD6	P18464
J9NZX6	A5D7Q4	F1M951	P61027	P26951
E2RGW0	F1MPX2	F1LNL5	Q8BVR6	P02808
J9JHG4	G3N3M2	A0A096MJY3	Q8BX10	Q9BUX1
E2RCF2	A5PJE5	D4A7K0	E9Q1A8	Q86TN4
F1P7Y7	Q3ZBF7	Q1JU68	P70677	A8MQ03
J9P891	G3N3E5	P20417	O88545	Q9NV06
E2R068	E1BIG6	P55063	D3YTQ3	Q9H204
J9P504	F1N5F7	P60825	Q7TT37	Q9BZT1
E2RN79	P31404	Q5U300	Q61768	Q9Y2J4
E2R2S8	Q3SX23	Q6AXX4	Q9ESG9	Q6N075
E2RPI9	F1N1S2	Q4V7C7	Q3U0V1	Q07654
E2RGJ5	F1MZ89	B2GUZ6	Q3USL1	O14513
J9NTL3	Q0P5K3	F2Z3T0	Q9Z1X4	Q8IWV7
E2RL90	F1N443	B0BMW2	P15864	Q96JN0
F1PRW0	B0JYP5	A0A0G2K6L6	Q91VR2	O60519
F1PWA4	E1B9Z8	D3ZWD6	Q9WVG7	Q92733
E2QYG6	Q56JY1	G3V7V7	P28352	Q4F969
P62822	E1BJB1	P62198	Q99KJ8	P51170
E2QXY7	A7YWH5	D3ZXP3	Q6ZWZ4	Q9H2C2
J9P2Y6	E1BPC8	D3ZT83	O70549	Q5I0X4
F6Y258	F1MM34	G3V888	Q3UPF5	Q8IUF1
E2RQ81	F6RSR1	D3ZXH7	Q3U1J4	Q92615
E2RR10	Q5BIN5	A0A0G2K612	P27661	Q8WYQ9
E2RS43	Q3T0Z8	A0A0G2JWX1	Q8K363	Q9UBD5
E2RS70	A2VDN6	A0A0G2K3V7	Q3TTY5	O96009
E2R488	F1N4T5	F7F6T5	Q80X68	Q93088
F1Q2Z4	E1BGR6	P05197	E9Q0B8	O75636
F6XMT1	F1MH03	F1LN08	Q9JJB4	Q9Y5P8
E2RGH5	A1A4J9	B5DEH2	Q61584	P05089
E2RC26	A6QNL4	P00159	D3YXH1	Q9Y546
F1PA19	Q5E952	D3ZRN3	E9PUK6	Q9NWZ3
Q7YR73	E1B8E5	G3V7N7	F8VQ23	O75908
F1PYQ1	G3MZL2	Q6AXT8	A2A432	Q9NZU5
E2QW54	A7MB35	P37377	Q0P678	Q8NBK3
F1PGT5	Q5E973	Q3KRE8	P62631	Q9P0M6
F1PEA6	F1MX61	Q794E4	Q3UR42	Q9UQB9
E2RFR0	A6H6Y0	A0A0G2K099	P56959	P46937
E2R7A8	F1MD76	D3ZWI9	Q8BHC9	Q9NX78
F1PJ05	P81644	F1M4C7	A2ALW5	Q9NUC0
F1PBW7	G3X6R1	E9PU86	Q9QXP6	P38484
F1PN31	Q58DU5	A0A0G2JX87	Q62376	Q86YB7
J9P812	A4IFC1	Q9JKB8	E9QNR6	Q6ZMG9
J9P483	Q58DT0	D3Z8I9	Q80YT7	Q9H0W9
F1P7Q4	E1BEK9	P69897	Q61081	Q9BZA7
F6URT7	E1BDS6	A0A0G2K490	P62717	O15264
F1Q2L2	F1MZ92	Q7TP21	Q792F9	Q9C099
E2R4G3	E1B7X9	A0A140TAG9	Q8K4Z5	O95567
E2QXL2	E1B782	D4A3X3	G3UYZ1	Q9Y3D6
F1Q237	E1BC74	P24528	Q9Z2K1	Q5VXD3
F1PBH2	F1MJQ1	P62193	Q9WV02	Q96BM1
E2R667	E1BF47	D4AEB4	F6ZFU0	D6RIA3
F1PDM2	Q2KI72	A0A0G2K075	Q9DC28	Q03001
E2QUZ3	F1MMS4	D3ZB71	P11416	P46109
J9P6I2	Q29RT9	D3ZPW7	Q9CZY2	Q9UGC6
E2RSH8	E1BFV0	B0BN82	P35700	P42167
F1PSJ0	F1MF23	O08961	O88456	Q05329
F1PD00	Q2HJ58	A0A096MJE6	Q8C156	P10243
F1PDI3	Q2KJI1	A0A0H2UHK3	Q4VAA7	Q96JF0
E2R518	E1BKC9	P23978	Q5SUV1	Q96LC7
F1PU60	F1N7E8	A0A0G2K0Q6	Q8C010	Q8N2U9
E2RMN1	Q862I1	G3V9A3	Q8CIN4	O75874
E2RMS9	F1MDW1	Q5U2Y1	Q68FL6	A1KZ92
E2RHC4	Q3SZN4	Q641W4	P43247	Q9BRT2
F1Q1V0	A5D7D1	G3V6T1	A0A0R4J1E2	P33151
F1PNR7	Q0P5C2	A0A0G2K2C1	Q9D711	Q9BXF6
F1PVD1	Q3SX04	P09321	P97401	Q5SGD2
F1PE55	A4FV31	A0A0G2JTY1	Q3UDF0	Q6ZR62
E2QS72	E1BP66	Q9Z0N7	P51569	P24311
E2RNT3	Q2TBQ5	E9PT66	P28656	Q9H2S5
E2R487	G3MX35	Q9EQP5	Q3UV16	O00458
G1K2D2	F1N177	G3V7L6	P62858	Q6K0P9
F1PYE3	Q8HYB6	P12841	Q921K2	Q9HC29
E2RGM8	E1BKT0	D3ZAP1	Q8CCB4	P54652
F1PX22	P61286	P62246	Q8BTS0	P35270
F1PMG8	F1MFK1	M0R961	P19324	H3BUK9
J9P139	G3X728	Q5XI20	Q9EP73	Q6ZVD8
E2R1C3	E1BNJ0	D4A069	B9EJ22	Q86VI3
E2QS57	F1N4L8	D3ZU27	A0A1W2P7X0	Q6UXD7
E2REI6	A5D7J6	Q5EAN7	Q60953	Q5VZQ5
J9P3B0	F1MJH6	A0A0H2UHG4	P42232	Q9UDY6
F1PV61	F1MIC9	E9PTN4	Q9WVS6	P46531
F1PWQ6	Q4ZJ65	D4A3T0	P35831	P55884
P51742	F1N0V7	D3ZZW1	P0C0S6	Q8WWZ7
F1PRG7	A5D7I4	P46002	Q8C551	Q14766
J9P391	P20004	Q4QQS7	Q60597	Q96HW7
E2R948	F1N0Z0	D4A5V8	D3Z0M9	Q8WVQ1
J9NVE6	P0CG53	G3V8T4	Q99J95	P61326
E2R4I2	Q3T0U5	D4A7H9	P00493	Q7Z4R3
P61012	F1MXA9	Q4QR79	Q60837	Q6DKI1
J9PAB2	Q2HJ97	Q59IV8	P62880	P0CB38
E2R624	Q5E9T9	Q5BJY9	Q91VR5	O75554
F1PCM3	Q2KIN4	P09495	Q80X90	Q9NX18
E2RQU7	F1N206	Q7TQN4	P98083	Q5SWW7
J9NZR2	Q5E9F7	Q5M7V8	P62855	P51397
J9JHE2	A7Z052	D3ZYB7	P53798	Q96L73
J9P9H1	F1N6G8	Q00939	Q3TBT3	O43264
F1PGL9	F1MN01	Q5U328	P62754	Q8N8A2
E2RGN6	E1BGX1	A0A0G2QC27	Q99JY0	O43679
E2REA9	Q32KP9	Q5U2R6	P61971	O00507
F1PJJ9	Q0IIH5	A0A0G2KAX2	A0A0R4J1Z2	Q8N4T0
Z4YHH2	F1MUT0	D4ADJ7	Q9DAT5	Q5T5B0
E2RN73	E1BF14	P35565	P10107	Q96T76
J9P3M3	P63258	E9PTR4	Q91YK2	Q969F0
F1PEV7	E1BEG2	Q0ZFS8	P39429	Q9NZC9
F1PV95	F1N6N3	Q6AYS8	Q3TZZ7	A7MD48
E2QUU5	A8E651	D3ZVH2	O89090	P01242
J9P2P4	O02691	F1LVT8	O55222	O60320
E2R476	Q3ZBT6	G3V6S8	Q8BFZ3	Q96E03
E2RLL6	G3X6L9	A0A0G2K719	P67984	Q9NRE2
E2R9C9	A7YWG4	Q4V7E1	Q3V0C5	Q8NF17
E2RDC2	E1BA93	H9KVF3	Q3UJB0	O15375
F6XAL6	E1BIH2	D3ZE35	Q9JJC6	Q9Y5K2
E2RIQ8	Q0VC36	P18418	Q60932	Q9UBI6
A0A140T8E5	Q3SYX3	F1LVG2	Q3TNW5	Q6UX27
E2R7Y2	E1BKC2	Q63630	C0HKD9	Q5TEJ8
E2R038	F1MFB5	Q64240	O09161	Q969G6
F1Q2F6	E1BKJ7	O08651	Q9CYR0	P61969
E2RLP4	F1MX59	G3V8S5	P19785	P49190
F6X7T6	P63292	O88582	Q9D1F5	Q8TBB6
E2RIQ2	Q2KJJ0	P53042	Q8VH51	P05141
E2RH47	E1BEL7	A0A0G2JVH4	Q9D6Z1	Q5T8D3
F1PRZ2	Q2KI67	Q00238	Q9Z0H7	Q8WY98
F1Q3Z6	P79136	F1M3H8	P62315	Q9BS10
F1PYC8	Q08DU8	E9PSV5	A7UAK5	Q9BSR4
F1PTE0	F1MV33	P50115	Q9R0U0	P17812
F1PUE0	F1N578	P84092	Q60668	O00170
E2QWQ1	E1BDZ5	P55770	O35144	Q9HCE9
A0A0A0MPC3	E1BC93	A0A0G2K4A8	Q60I23	Q9H3J6
E2R3F7	A8E4M8	E9PSZ0	Q32MD9	P23582
E2RFA3	Q3SZR8	A0A0G2K8V2	Q91WL8	Q8WYD7
E2RID6	F1N1H1	D3ZIM0	Q9CYC3	Q6P1S2
F1PLU8	F1MID4	G3V652	O88983	Q99436
E2QSN3	E1BEG8	D3ZS24	Q8C7R5	Q96LT9
F2Z4N3	Q29RQ2	D3ZQM0	Q9JJI8	Q8NFJ5
J9P4U8	Q56JZ5	A0A0G2K2B3	Q64213	Q96EH3
F1PGY1	Q08E54	A0A0G2K5U0	P63017	Q96D05
E2R334	F1N052	Q505J8	Q9CQE8	Q58FF8
E2QRU9	A7MBD1	P85834	Q6ZWR4	Q15527
F2Z4P1	E1BJG5	D4ACW1	Q9QZN4	Q5T0F9
J9P6U4	Q3T165	Q9WV25	Q99J09	P04004
J9P7Y9	G3MXJ7	Q4G061	Q9Z0X1	Q7L523
F1Q2B9	F1MBQ1	G3V9X6	Q8K3A2	Q8N339
J9NZY7	Q3ZBS7	P63322	Q68FM7	P49682
J9NYE3	F1N7K7	Q66HT5	Q9CQK2	A6NJ69
F1Q332	Q58CQ2	E9PT51	Q9D0R2	Q9BS75
F1PVY3	F1MSD2	A0A0G2JVC1	P12023	Q9BXK5
E2R832	E1BIA1	A0A0H2UHA3	Q8VDL4	O95453
E2RA27	P67774	P63086	P29595	Q9NQS5
F1PCU1	F1MBG5	Q3B8Q2	G3X914	Q14188
E2QXX3	E1BND2	A0A0G2K0J7	Q8BTY8	Q9GZZ9
E2RBX1	P20072	R4GNK3	P12815	Q9NUV9
E2RGZ3	E1BHY6	D4A9B0	Q8BND3	Q08357
F1CMF1	F1N672	Q62838	Q9R0L7	Q8IWU6
E2RB79	Q3T0Y1	P52631	P80314	Q8TBB1
F1Q331	A4FUC2	P62282	G3X9H5	P34925
F1PS15	A7YWF1	F1LZQ6	Q8BYL4	Q9UHF7
F1Q4J5	F1MLS5	D3ZK73	P21126	O75204
E2RDD9	Q95M18	M0RCY2	O88569	Q9BZG1
F6XRY2	P48616	D4ACB8	P08113	P05015
J9P5G4	P10103	D4ACX5	A2A863	O15055
E2RTC8	Q08DM7	Q56R18	P58022	Q7RTU7
E2RNB0	F1MI03	Q6PCU4	Q8VIJ6	O15519
E2R125	Q0P5G4	Q80ZG5	Q9CY64	O75962
F1Q4F9	F1MYH4	Q5U211	Q9WV80	Q96SQ7
F1PJ65	G5E505	A0A0G2JZI2	Q8BTM8	Q9BQ51
E2R7L0	Q2HJ56	D3ZBQ1	Q6PHQ9	B0AZU3
E2RDZ4	A3KMV6	O09139	Q99KP6	Q9Y4P1
F1Q3X7	E1BE25	B6ID11	Q99N84	A6NCF5
J9NSG1	E1B9D9	F1LPA4	P97868	Q8N966
J9NRS9	G3MWQ8	A0A0G2JSN8	Q9QZ84	Q15223
F1PPQ3	Q5E9X4	G3V7I0	Q8BL97	O00206
J9JHS7	A4FUG8	A0A0G2K7F0	E9QM38	Q9UBX5
F1PMU0	F1MRD9	D3ZW62	Q9Z140	Q9BTT6
E2RAD4	A0JND0	B2RYI2	P61965	Q9BWT1
J9P2H3	F1MZF0	G3V7R4	Q9DBR7	Q9Y570
E2QXT6	Q2KIF4	Q6P730	D3Z6P9	Q59G98
E2RH68	Q9TU03	Q641Z6	Q7TQG1	Q9NXF7
F1PEN6	F1MTR3	B2RZ72	P62962	O60318
F1PI73	Q3MHK9	B0BN93	Q8QZY1	Q12841
F1PZ54	F1N3G2	P68101	Q99LX0	Q9P281
F1PAY5	Q08DE0	A0A0G2JVW5	P97351	P21802
E2RTC3	A7MBG8	P11980	P62918	P22532
E2R9G5	E1BD42	D4A1R0	Q8K221	Q86Y01
E2RMX4	Q32PH9	G3V618	Q9QZK2	Q9H1R3
E2QX45	Q0IIJ2	P27881	Q9R0P5	Q9NR99
J9P4H4	F1MP48	G3V9R0	A2AQ07	Q7Z7D3
F1P8M8	E1BJS3	Q3B8N8	Q8BHN3	Q9BVL2
E2RJ89	E1BH78	M0R7Q5	P62245	A1L4K1
E2R3G3	P02253	Q7TPK5	Q922D8	Q9Y394
J9PAH6	F1MGM4	D4AE96	Q9Z1Q5	Q53TQ3
F1PDI8	E1B8N6	Q63413	P32233	P08F94
F1PV40	E1BJ59	P29266	Q8R2M2	P35236
E2RE60	P17694	Q9Z0V5	Q8VI84	Q9BYB4
E2RF16	A4IFQ6	B5DFM2	Q922J9	Q02410
F1PDC7	F1MC72	Q5U2M8	O08759	P17677
E2R988	F1MN93	Q66X93	P26040	Q9UGI9
E2RGJ9	E1BKT9	Q4V898	Q07797	P02511
F1PKU4	Q3ZBS9	O35116	P19228	Q7Z4W1
F1PAW4	F1MWN3	D3ZQV3	Q9ESW4	Q5JQC9
F6XQ49	F1MWZ9	P10247	Q6P6L6	Q9BQC6
F6Y5W4	E1BP48	Q6AY13	P63271	P28698
F1PEG8	Q0V8S0	F1LS72	F6ZDS4	Q01954
E2RHZ0	Q3SZC4	E9PT65	Q922B1	Q14568
J9NRT3	Q0II48	D3ZEY9	Q8K0U4	Q8N554
E2QS16	Q2KI86	Q59IV9	P39688	O75533
J9NXH8	E1BAI6	Q6AYL8	Q8CA71	C9JVC3
F6X8I2	Q3ZBZ8	Q6P6U2	Q5SRY7	Q9NP79
E2RHK9	F1N365	Q5M7W5	Q9EQH3	Q96CX6
F1PUW6	Q0IIG0	Q5BJS0	Q99N15	Q75N03
E2RFR6	F1MQ96	A0A0G2JY58	Q64475	Q8TB22
E2R9C5	E1BA72	G3V7R3	Q5SVT3	Q6IAI7
F1Q0V5	F1MME3	D3ZDN9	Q9D067	Q9NRW1
E2RCF7	E1BH82	F2Z3T9	Q91VR7	Q86WV1
J9P4X3	E1BGI2	E9PTB2	P62996	P28065
F1Q028	F6Q6P4	Q66HA1	P63268	Q6PGQ7
E2R5U5	Q148F6	A0A0G2JVA8	P06837	Q5TID7
E2QUN0	A8E4L1	D3ZGA4	P49182	Q8N8G2
E2RBT6	Q32LI6	P83941	Q8BRM6	O60427
E2R4A5	Q08DN8	G3V9N8	Q4FE56	Q9UPW5
E2RHX1	Q5E9D3	A0A140UHX3	Q62446	P54886
E2R5J2	E1BBY2	Q6MGC9	Q9EQG9	Q9NR23
E2RCC4	E1BD75	Q64611	Q9ES97	P49419
