a40 b40 c40 d40 e40 f40 g40 h40 
a96 b96 c96 d96 e96 f96 g96 h96 
a336 b336 c336 d336 e336 f336 g336 h336 
a31 b31 c31 d31 e31 f31 g31 h31 
a71 b71 c71 d71 e71 f71 g71 h71 
a123 b123 c123 d123 e123 f123 g123 h123 
a216 b216 c216 d216 e216 f216 g216 h216 
a98 b98 c98 d98 e98 f98 g98 h98 
a340 b340 c340 d340 e340 f340 g340 h340 
a2 b2 c2 d2 e2 f2 g2 h2 
a349 b349 c349 d349 e349 f349 g349 h349 
a370 b370 c370 d370 e370 f370 g370 h370 
a355 b355 c355 d355 e355 e423 f355 g355 g423 g449 h355 h423 h449 
a335 b335 c335 d335 e335 f335 g335 h335 
a288 b288 c288 d288 e288 f288 g288 h288 
a255 b255 c255 d255 e255 f255 g255 h255 
a25 b25 c25 d25 e25 f25 g25 h25 
a69 b69 c69 d69 e69 f69 g69 h69 
a375 b375 c375 d375 e375 f375 g375 h375 
a232 b232 c232 d232 e232 f232 g232 h232 
a319 b319 c319 d319 e319 f319 g319 h319 
a35 b35 c35 d35 e35 f35 g35 h35 
a203 b203 c203 d203 e203 f203 g203 h203 
a306 b306 c306 d306 e306 f306 g306 h306 
a101 b101 c101 d101 e101 f101 g101 h101 
a261 b261 c261 d261 e261 f261 g261 h261 
a146 b146 c146 d146 e146 f146 g146 h146 
a317 b317 c317 d317 e317 f317 g317 h317 
a208 b208 c208 d208 e208 f208 g208 h208 
a39 b39 c39 d39 e39 f39 g39 h39 
a159 b159 c159 d159 e159 f159 g159 h159 
a62 b62 c62 d62 e62 f62 g62 h62 
a22 b22 c22 d22 e22 f22 g22 h22 
a207 b207 c207 d207 e207 f207 g207 h207 
a47 b47 c47 d47 e47 f47 g47 h47 
a24 b24 c24 d24 e24 f24 g24 h24 
a379 b379 c379 d379 e379 f379 g379 g468 h379 
a278 b278 c278 d278 e278 f278 g278 h278 
a158 b158 c158 d158 e158 f158 g158 h158 
a97 b97 c97 d97 e97 f97 g97 h97 
a182 b182 c182 d182 e182 e502 e726 f182 f502 f726 g182 h182 
a28 b28 c28 d28 e28 f28 g28 h28 
a287 b287 c287 d287 e287 f287 g287 h287 
a214 b214 c214 d214 e214 f214 g214 h214 
a139 b139 c139 d139 e139 f139 g139 h139 
a171 b171 c171 d171 e171 f171 g171 h171 
a140 b140 c140 d140 e140 f140 g140 h140 
a87 b87 c87 d87 e87 f87 g87 h87 
a74 b74 c74 d74 e74 f74 g74 h74 
a267 b267 c267 d267 e267 f267 g267 h267 
a279 b279 c279 d279 e279 f279 g279 h279 
a378 b378 c378 d378 e378 f378 g378 h378 
a285 b285 c285 d285 e285 f285 g285 h285 
a76 b76 c76 d76 e76 f76 g76 h76 
a176 b176 c176 d176 e176 f176 g176 h176 
a695 b695 b963 c429 c454 c521 c551 c621 c725 c752 c797 c980 c990 d429 d521 d551 d621 d752 d797 d835 d916 d933 d982 e595 e979 f595 f821 g595 g948 h595 h909 
a148 b148 c148 d148 e148 f148 g148 h148 
a16 b16 c16 d16 e16 f16 g16 h16 
a380 b380 c380 d380 e380 f380 g380 h380 
a83 b83 c83 d83 e83 f83 g83 h83 
a386 a416 b386 c386 d386 e386 f386 g386 h386 
a353 b353 c353 d353 e353 f353 g353 h353 
a99 b99 c99 d99 e99 f99 g99 h99 
a311 b311 c311 d311 e311 f311 g311 h311 
a185 b185 c185 d185 e185 f185 g185 h185 
a293 b293 c293 d293 e293 e447 e483 f293 f447 f483 g293 g447 g483 h293 h447 
a27 b27 c27 d27 e27 f27 g27 h27 
a111 b111 c111 d111 e111 f111 g111 h111 
a351 b351 c351 d351 e351 f351 g351 g452 h351 
a86 b86 c86 d86 e86 f86 g86 h86 
a204 a548 b204 b548 c204 c548 d204 d548 e204 f204 g204 h204 
a137 b137 c137 d137 e137 f137 g137 h137 
a190 a450 b190 b450 c190 d190 e190 e523 f190 g190 h190 
a129 b129 c129 d129 e129 f129 g129 h129 
a120 b120 c120 d120 e120 f120 g120 h120 
a34 b34 c34 d34 e34 f34 g34 h34 
a49 b49 c49 d49 e49 f49 g49 h49 
a231 b231 c231 d231 e231 f231 g231 h231 
a147 b147 c147 d147 e147 f147 g147 h147 
a195 b195 c195 d195 e195 f195 g195 h195 
a282 b282 c282 d282 e282 f282 g282 h282 
a174 b174 c174 d174 e174 f174 g174 h174 
a192 b192 c192 d192 e192 f192 g192 h192 
a393 b393 c393 d393 e393 f393 g393 h393 
a247 b247 c247 d247 e247 f247 g247 h247 
a360 b360 c360 d360 e360 f360 g360 h360 
a107 b107 c107 d107 e107 f107 g107 h107 
a118 b118 c118 d118 e118 f118 g118 h118 
a52 b52 c52 d52 e52 f52 g52 h52 
a48 b48 c48 d48 e48 f48 g48 h48 
a88 b88 c88 d88 e88 f88 g88 h88 
a374 b374 c374 d374 e374 f374 g374 h374 
a243 b243 c243 d243 e243 f243 g243 h243 
a144 b144 c144 d144 e144 f144 g144 h144 
a451 a459 a577 b451 b459 b577 c451 d451 d459 e446 f446 g446 h446 
a212 b212 c212 d212 e212 f212 g212 h212 
a211 b211 c211 d211 e211 f211 g211 h211 
a344 b344 c344 d344 e344 f344 g344 h344 
a281 b281 c281 d281 e281 f281 g281 h281 
a280 b280 c280 d280 e280 f280 g280 h280 
a104 b104 c104 d104 e104 f104 g104 h104 
a218 b218 c218 d218 e218 f218 g218 g518 h218 h518 h615 
a127 b127 c127 d127 e127 f127 g127 h127 
a154 b154 c154 d154 e154 f154 g154 h154 
a352 b352 c352 d352 e352 f352 g352 h352 
a102 b102 c102 d102 e102 f102 g102 h102 
a373 b373 c373 d373 e373 f373 g373 h373 
a296 b296 c296 d296 e296 f296 g296 h296 
a391 b391 c391 d391 e391 f391 g391 h391 
a124 b124 c124 d124 e124 f124 g124 h124 
a257 b257 c257 d257 e257 f257 g257 h257 
a106 b106 c106 d106 e106 f106 g106 g410 h106 h410 
a274 a460 a535 b274 b460 b535 b569 c274 c460 c535 d274 e274 f274 g274 h274 
a372 b372 c372 d372 e372 f372 g372 h372 
a161 b161 c161 d161 e161 f161 g161 h161 
a270 b270 c270 d270 e270 f270 g270 h270 
a145 b145 c145 d145 e145 f145 g145 h145 
a238 b238 c238 d238 e238 f238 g238 h238 
a162 a472 b162 b472 c162 c472 d162 d418 d472 e162 f162 g162 h162 
a91 b91 c91 d91 e91 f91 g91 h91 
a271 b271 c271 d271 e271 f271 f481 g271 h271 
a134 b134 c134 d134 e134 f134 g134 h134 
a631 b739 c486 d792 e295 f295 g295 h295 
a258 b258 c258 d258 e258 f258 g258 h258 
a66 b66 c66 d66 e66 f66 g66 h66 
a32 a402 b32 c32 d32 e32 f32 f426 g32 g426 h32 h426 
a357 b357 c357 d357 e357 e427 f357 f427 g357 g418 g427 g678 h357 h418 h427 
a298 b298 c298 d298 e298 f298 f504 g298 g504 g627 g699 g799 h298 h504 h627 h699 h799 h843 
a166 b166 c575 d575 d979 e166 e453 e665 f166 f665 g166 g453 h166 
a342 b342 c342 d342 e342 f342 g342 h342 
a222 b222 c222 d222 e222 f222 g222 h222 
a347 b347 c347 d347 e347 f347 g347 h347 
a366 b366 c366 c649 c944 d366 d649 e366 f366 g366 h366 
a384 b384 c384 d384 e384 f384 f528 g384 g528 h384 h528 
a89 b89 c89 d89 e89 f89 g89 h89 
a377 b377 c377 d377 e377 f377 g377 h377 
a234 b234 c234 d234 e234 f234 g234 g420 h234 
a367 b367 b463 c367 d367 e367 f367 g367 h367 
a295 b295 b477 c295 d295 d477 e972 f476 g448 h812 
a369 b369 c369 d369 e369 f369 g369 h369 
a241 b241 c241 d241 e241 f241 g241 h241 
a173 b173 c173 d173 e173 f173 g173 h173 
a323 b323 c323 d323 e323 f323 g323 h323 
a75 b75 c75 d75 e75 f75 g75 h75 
a114 b114 c114 d114 e114 f114 g114 h114 
a385 b385 c385 d385 g849 g889 h669 
a103 b103 c103 d103 e103 f103 g103 h103 
a338 b338 c338 d338 e338 f338 g338 h338 
a246 a525 b246 b525 c246 c525 d246 d525 e246 f246 f871 f978 g246 g630 h246 h630 
a94 b94 c94 d94 e94 f94 g94 h94 
a181 b181 c181 d181 e181 f181 g181 h181 
a313 b313 c313 d313 e313 f313 g313 h313 
a368 a565 b368 b565 c368 c565 d368 d565 e368 f368 g368 h368 h810 
a155 b155 c155 d155 e155 f155 g155 h155 
a131 b131 c131 d131 e131 f131 g131 h131 
a42 b42 c42 d42 e42 f42 g42 h42 
a150 b150 c150 c697 d150 d697 e150 f150 g150 h150 
a54 b54 c54 d54 e54 f54 g54 h54 
a65 b65 c65 d65 e65 f65 g65 g459 g492 h65 h459 h492 
a248 b248 c414 d414 e248 f248 g248 g683 g751 h248 h683 h751 
a206 b206 c206 d206 e206 f206 g206 h206 
a346 b346 c346 d346 e346 f346 g346 h346 
a125 b125 c125 d125 e125 f125 g125 h125 
a356 b356 c356 d356 e356 f356 g356 h356 
a186 a425 b186 c186 c425 d186 d425 e186 f186 g186 h186 
e495 e535 e552 e586 e738 f495 f535 g495 g535 g552 g586 h495 h535 h552 h586 
a142 b142 c142 d142 e142 f142 g142 h142 
a227 b227 c227 d227 e227 f227 g227 g636 g755 h227 h636 h755 
a329 a406 a611 b329 b406 b611 c329 d329 e329 f329 g329 h329 
a555 a562 b555 b562 c562 d562 e727 f727 g807 h648 h790 
a109 b109 c109 d109 e109 f109 g109 h109 
a119 b119 c119 d119 e119 f119 g119 h119 
a575 a866 b575 c166 d166 e685 e837 e948 f453 f685 f860 f920 f927 f929 g713 h453 
a250 b250 c250 d250 e250 e618 f250 f618 g250 h250 
a286 b286 c286 c438 d286 e286 f286 g286 h286 
a253 b253 c253 d253 e253 f253 g253 h253 
a51 b51 c51 d51 e51 f51 g51 h51 
a358 b358 c358 d358 e358 f358 g358 h358 h482 
a297 b297 c297 d297 e297 f297 g297 h297 
a121 b121 c121 d121 e121 f121 g121 h121 
a213 b213 c213 d213 e213 f213 g213 h213 
a387 b387 b676 c387 d387 e387 f387 g387 h387 
a383 b383 c383 d383 e383 f383 g383 h383 
a245 b245 c245 d245 e245 f245 g245 h245 
a81 b81 c81 d81 e81 f81 g81 h81 
a141 b141 c141 d141 e141 f141 g141 h141 
a404 b404 c404 d462 d476 d919 e607 f607 
a303 b303 c303 d303 e303 e415 f303 f415 g303 h303 h415 
a382 b382 c382 d382 e382 f382 g382 h382 
a272 b272 c272 d272 e272 f272 g272 h272 
a847 b965 d906 d941 e60 e404 f60 f404 g60 g404 h60 h404 
a399 a415 a518 b399 b415 b518 c399 c415 c518 c610 d399 d415 d518 d610 d840 e399 f399 g399 h399 
a262 b262 c262 d262 e262 f262 g262 h262 
a516 b516 c223 c516 d223 d516 e539 f539 g539 h539 
a113 b113 c113 d113 e113 f113 g113 h113 
a300 b300 c300 c761 d300 d761 e300 e514 e591 f300 f514 f591 g300 g514 g591 h300 h514 h591 
a193 b193 c193 d193 e193 f193 g193 h193 
a779 b779 e260 f260 g260 g648 g790 h260 
a334 b334 b491 c334 d334 g710 h982 
a201 b201 c201 d201 e201 f201 g201 h201 
a256 b256 c256 d256 e256 f256 g256 h256 
a58 b58 c58 d58 e58 f58 g58 h58 
a156 b156 c156 d156 e156 f156 g156 h156 
a310 b310 c310 d310 e310 f310 g310 h310 
a179 b179 c179 d179 e179 f179 g179 g674 h179 
b652 e168 f168 g168 h168 
a151 b151 c151 d151 e151 f151 g151 h151 
a560 b560 c560 c755 d560 d755 e670 f670 
a215 b215 c215 d215 e215 f215 g215 h215 
a480 a537 a581 a757 a800 b452 c452 c581 d452 d581 g650 g853 h840 
a219 b219 c219 d219 e219 f219 g219 h219 
a157 b157 c157 d157 e157 f157 g157 h157 
a61 b61 c61 d61 e61 f61 g61 h61 
a130 b130 c130 d130 e130 e562 e620 f130 f562 f620 g130 g562 g690 h130 h562 h690 h869 
a326 b326 c326 d326 d877 d973 e326 f326 g326 g623 h326 h623 
a63 b63 c63 d63 e63 f63 g63 h63 
a529 a634 a828 a853 a873 b529 b634 b893 c529 c615 d529 d615 d811 e413 f413 g413 g438 g673 g728 h413 h438 h673 h728 h842 
a136 b136 c136 d136 e136 f136 g136 h136 
a952 b449 b464 c449 d914 e424 f424 g424 h424 
a135 b135 c135 d135 e135 f135 g135 h135 
a84 b84 c84 d84 e84 f84 g84 g596 h84 h596 
a269 b269 c269 d269 e269 f269 g269 h269 
a899 d898 e177 f177 g177 g460 h177 
a221 b221 b422 c221 d221 e221 f221 
a996 b830 b906 b941 b972 b973 c848 c894 d864 e626 e879 e925 f626 h919 
a210 b210 c210 d210 e210 f210 g210 h210 
a205 b205 c205 d205 e205 f205 g205 h205 
a395 b395 c395 d395 e395 f395 g395 h395 
a80 b80 c80 d80 e80 e664 f80 g80 h80 
a168 a652 b168 c168 d168 f825 h874 h975 
a46 b46 c46 d46 e46 f46 g46 h46 
a376 b376 c376 d376 e376 f376 g376 h376 
a167 b167 c167 d167 e167 f167 g167 h167 
a363 b363 c363 c475 d363 d475 e363 e408 e570 e848 f363 f408 f570 g363 h363 h408 h570 
e385 f385 g385 g669 h385 
a928 c870 e200 f200 g200 h200 
a301 a584 b301 b584 c301 c584 d301 d584 
a294 b294 c294 d294 d807 e294 f294 f774 g294 h294 
a350 b350 c350 d350 e350 f350 g350 h350 
a72 b72 c72 d72 e72 f72 g72 h72 
a442 b442 c442 d442 
a128 b128 c128 d128 e128 f128 g128 h128 
a852 c744 d744 e478 e489 e809 e932 f478 f489 g478 g489 g857 h478 
a132 b132 c132 d132 e132 f132 g132 h132 
a57 b57 c57 d57 e57 f57 g57 h57 
a291 b291 c291 d291 e291 f291 g291 h291 
a307 b307 c307 d307 e307 f307 g307 h307 
a421 a573 a613 a660 a788 b421 b573 b613 c421 d421 f909 g651 h651 
a198 b198 c198 d198 e198 f198 g198 h198 
a333 b333 c333 c831 d333 e333 f333 g333 h333 
a265 b265 c265 d265 e265 f265 g265 h265 
a457 b457 c457 d457 g893 
a381 b381 c381 d381 e381 f381 g381 h381 
a493 b493 c501 c530 c692 d501 d530 d692 
a731 a986 b731 b886 b903 c450 d617 d624 d709 d731 d868 e597 f523 f597 f990 g523 g597 g661 h661 
a444 b444 b571 c428 c444 c547 c571 c643 d444 e557 e891 f557 g557 g898 h860 
a733 a908 a966 b733 c957 e585 f585 f814 f966 g585 h585 
c617 c624 c731 d450 h523 h597 h808 h911 h925 h954 
a361 a707 b361 b707 c361 d361 d854 d962 e361 f361 g361 h361 
a312 b312 c312 d312 e312 f312 g312 h312 
a115 b115 c115 d115 e115 f115 g115 h115 
a593 a802 b593 c396 d396 e638 f429 
a414 b414 c248 d248 g851 g894 h809 
a112 b112 c112 d112 e112 f112 g112 h112 
a623 e164 f164 f456 g164 h164 
a602 a778 b602 c892 e594 f594 g594 h594 h987 
a325 b325 c325 d325 e417 e777 f417 f777 f884 g417 g432 h813 h870 h873 h889 
a90 b90 c90 d90 e90 f90 g90 h90 
a470 b470 c470 d470 f900 
a199 a594 a599 a921 b199 b594 c199 c594 c599 c704 d199 e199 f199 g199 h199 
a259 b259 c259 d259 e259 f259 g259 h259 
a626 a865 b626 b853 c734 d876 e445 e654 f445 g445 h445 
a471 a504 a679 b471 c471 c504 c765 c905 d471 d504 d765 d862 e422 e428 f422 f428 f467 f479 g422 h422 
a223 b223 c544 d544 e223 e649 f223 g223 h223 
a501 a530 b501 c493 d493 e717 e998 f717 g936 
a394 b394 c394 c423 d394 d423 e394 e897 f394 f916 g394 h394 
a138 b138 c138 d138 e138 f138 g138 h138 
a117 b117 c117 d117 d782 d860 e117 f117 g117 h117 
e325 e432 e657 f325 f432 f657 g325 h325 h417 h432 
a143 b143 c143 d143 e143 f143 g143 h143 
a546 a649 a781 a861 a941 a967 b402 b546 c402 c546 c822 d402 d546 e426 e629 e651 f629 f651 
a252 b252 c252 d252 e252 f252 g252 g607 h252 h607 
a153 b153 c408 d408 
a408 b408 c153 d153 h702 
e452 e746 e778 e882 f452 f746 f778 g1000 h452 
a275 b275 c275 d275 e275 f275 g275 h275 
a397 a674 b397 b674 c397 d397 d892 e397 f397 g397 h397 
a961 c661 e433 e497 e770 e784 f433 f497 f770 f879 g433 g497 h433 h497 
a226 b226 c226 d226 e226 f226 g226 h226 
a701 b701 c693 c816 e217 f217 g217 h217 
a579 b579 b663 c579 c830 d579 d932 e668 f668 g923 g965 
a324 a541 b324 b541 c324 d324 d541 e324 f324 g324 g501 h324 
b948 e474 f474 g474 g816 h474 h899 
a327 b327 c327 d327 e327 f327 g327 h327 
a441 a465 a588 b441 b465 b588 c441 c465 c588 d441 e687 f687 f921 g706 h706 
b993 c541 c614 d614 e419 e501 f419 g419 h419 
a443 b443 c443 d443 e416 f416 g416 g905 h416 
a235 b235 c235 d235 e235 f235 g235 h235 
a396 b396 c593 c938 c989 d593 e815 e853 e913 f804 g429 g749 g871 h429 h749 
a254 b254 c254 c605 d254 d605 e254 e703 f254 f703 g254 h254 
a485 b485 c485 d485 d592 g990 
a53 b53 c53 d53 e53 f53 g53 h53 
a187 b187 c187 d187 e187 f187 g187 h187 
a795 b795 c951 d926 e359 f359 g359 h359 h660 
a217 b217 c217 d217 d627 
a519 b519 c519 d519 g649 g785 g902 h649 h785 h825 h880 
d956 e867 f866 g605 h605 
a455 b455 c455 d455 e515 e545 e735 e763 e766 f515 f545 f735 f763 f766 f818 g515 g545 g951 h515 h545 h837 
a435 a704 b435 b704 c435 c607 d435 d607 e713 e849 f646 f713 f857 f910 
a539 a868 b416 b539 c416 d416 e697 f697 f820 f906 f953 g984 
a268 b268 c268 d268 e268 e560 f268 g268 h268 
a289 b289 c289 d289 e289 f289 g289 h289 
a362 b362 c362 d362 e362 f362 g362 h362 
a183 b183 c183 d183 e183 f183 g183 h183 
a328 b328 c328 c511 d328 e328 f328 f520 f863 g328 h328 
a740 b740 c604 c883 d604 e153 f153 g153 g702 h153 h921 h966 
a533 a604 b533 b604 c533 d533 e401 e510 e787 f401 f510 g401 h401 h510 
a200 b200 c200 c663 d200 d663 
c936 e536 e593 f536 f593 f945 g536 g593 g686 h536 h593 
a432 a467 b432 b467 c432 c467 d432 d467 e645 e903 e959 f645 g405 h876 
a332 b332 c332 d332 e332 f332 g332 h332 
a239 b239 c239 d239 e239 f239 g239 h239 
b842 d833 d931 e420 e524 f420 f524 g524 g599 g666 g676 g815 g876 h420 h599 
a220 b220 c220 d220 e220 f220 g220 h220 
a569 a656 b656 c676 d460 
a867 e341 e450 e695 f341 f450 f695 g341 h341 h450 
a927 c772 d772 e490 f490 g455 h455 
a67 b67 c67 d67 e67 f67 g67 h67 
a487 b487 b711 c487 c552 c718 c793 c918 c988 d487 d552 d718 d793 e895 g931 h988 
a903 e273 f273 g538 h273 h538 
a524 b524 c524 c819 d524 d943 f716 
a526 a557 a591 a817 a914 b526 c526 d526 d557 f832 f981 
a469 a508 a639 a809 b469 b508 b639 b804 b911 c469 c508 d469 d508 e609 e630 e953 f609 f630 f865 g804 h905 
a341 b341 c341 d341 f830 f882 f955 g450 
a284 a882 b284 c284 c655 c756 c891 d284 d655 d756 e789 g841 h582 
a688 b688 b843 b874 c406 d406 d803 f873 g969 
a614 a620 a641 a977 b614 b620 b641 b950 d918 e482 f482 g482 g534 h534 
a506 b506 b828 c506 d506 d787 g993 
a492 b492 b820 c492 c613 d492 d613 g779 h779 h791 h864 h913 
a418 b418 b791 c418 d944 d957 e470 f470 f979 g470 h470 h923 
a242 b242 c242 d242 e242 f242 g242 h242 
e284 e582 f284 f582 g284 g582 g987 h284 
a556 a944 a954 b556 b817 b829 c556 c569 c729 d535 
d910 e459 e492 e655 e830 f459 f492 g913 g944 h894 h979 h985 
a603 b722 e398 e644 f398 f644 g398 h398 
a438 b438 c749 c826 c994 c998 d438 d749 
a925 e503 e878 e898 f503 g503 g619 h503 
a244 b244 c244 d244 e244 f244 g244 h244 
a554 b554 c554 c611 d554 d611 d658 d810 e813 
a477 a486 b486 c477 c784 c820 d486 d784 
e406 f406 f572 f745 f885 g406 g572 h606 h647 h693 h747 h964 
c804 c997 e546 e579 e627 f546 f579 f627 f854 g546 g579 g715 g888 h546 h579 h715 
a20 b20 c20 d20 e20 e696 f20 g20 h20 
a983 b931 d802 e547 f547 g547 h547 
b873 c941 e473 e621 e701 f473 f475 f662 f701 g473 g475 h473 h475 
a691 a793 b691 b793 e532 f532 g532 h532 
a600 b600 b824 c600 d600 e461 f461 g461 h461 
a580 a598 b580 b598 b866 c459 c577 c580 c598 d577 d598 e759 f759 g855 h878 
a445 b445 c445 d445 f855 
e460 f460 g662 g754 g831 h460 h662 h754 h884 h900 
a507 b507 c507 d570 g835 
a225 a738 b225 c225 d225 e225 e628 e749 e885 f225 f628 f749 f969 g225 h225 
a805 e592 e840 e850 f592 g592 g638 g681 h592 h638 h681 
a985 b956 d847 d981 d987 e544 e694 f544 f694 g544 h544 
a237 b237 c237 d237 e237 f237 g237 h237 
a797 a942 b797 e462 e758 e805 e814 f462 f758 g462 g642 h462 h642 
a164 b164 b623 c164 d164 
a703 b703 e577 f577 g577 h577 h955 
a479 b479 c479 d479 g724 g873 h922 
a390 b390 c390 d390 e390 f390 g390 h390 
a315 b315 c315 d315 e315 f315 g315 h315 
a264 b264 c264 c567 d264 e676 e951 f728 f946 h917 
a532 b532 d532 
a491 a514 b514 c491 d491 
a169 b169 c169 d169 d986 e169 f169 g169 h169 
a73 b73 c73 d73 e73 f73 g73 h73 
a440 a576 b440 b576 c440 c576 c880 c907 c921 d440 d576 d808 e690 e960 f690 f812 g870 
b877 c641 d641 e494 e855 f494 g494 h494 
a330 b330 c330 d330 e330 f330 g330 h330 
a410 b410 b534 c410 d410 g838 
a673 b494 b673 b745 c494 c956 d494 e820 e835 g656 h656 h736 
a894 c863 e388 e575 f388 g388 g575 h388 h575 
a752 d881 e82 f82 f659 g82 h82 
a85 b85 c85 c483 c958 d85 d483 e85 f85 g85 h85 
a596 a684 a860 a878 b596 b684 b879 b907 c770 d596 h950 
a488 a736 a749 a796 a951 b488 b736 b749 b796 b933 c488 c867 d488 f898 h969 
a513 b513 c513 d513 g821 h958 
e739 f449 g529 h529 
a407 b407 c407 d407 d734 e440 e720 e752 f752 g440 h440 
a523 a831 a843 b523 c523 c532 c603 c726 c926 d523 d603 d726 d838 
a447 b447 b905 c447 c768 d447 d768 d852 e441 e845 e931 e939 e969 f441 f977 g441 g698 g957 h441 h698 
a550 a965 b550 c550 c609 d550 d609 e508 e722 f722 g672 g935 g952 h483 h672 h848 
a359 a784 b359 b784 c359 c906 d359 g660 g811 
a420 a534 b420 c420 c534 c606 c728 d420 d534 d606 d728 e603 e771 e839 e871 f603 f771 g814 g868 
b904 e449 e529 e637 f423 f529 g614 h614 h817 
c713 c932 d713 d936 e412 f412 g412 g675 h412 h675 
a260 b260 c260 d260 g731 g892 g960 h731 
a321 b321 c321 d321 e321 f321 g321 h321 
a484 b484 d968 
a318 a619 b318 b619 c318 c671 d318 d671 e863 f555 
a544 a803 b544 e786 f649 g655 h655 h839 h916 
b561 c561 d561 g810 
a955 b803 b855 b909 c622 c716 c741 c807 c969 d622 d716 d777 d851 e403 e797 f403 g403 h403 
a458 a561 b458 c458 d458 d858 d940 e824 e983 e984 f680 f878 g633 h633 h990 
a424 b424 c424 d424 e444 f444 g444 h444 
e431 e574 e893 f431 f574 g431 g574 h431 
a553 b553 c596 d770 h658 
a570 b570 c570 d507 
b945 c648 c696 d648 d696 e753 e773 e982 f753 f773 f968 g502 g640 g837 g867 g914 h502 h640 h893 
a583 a912 b480 b537 b581 b757 b800 c480 c537 d480 d537 d583 h650 h882 h997 
a348 b348 c348 d348 e348 f348 g348 h348 
